"date","total_downloads"
"2017-05-28",1
"2017-05-27",5
"2017-05-26",3
"2017-05-25",7
"2017-05-24",4
"2017-05-23",7
"2017-05-22",18
"2017-05-21",8
"2017-05-20",2
"2017-05-19",2
"2017-05-18",3
"2017-05-17",7
"2017-05-16",2
"2017-05-15",5
"2017-05-14",5
"2017-05-13",5
"2017-05-12",10
"2017-05-11",6
"2017-05-10",10
"2017-05-09",7
"2017-05-08",6
"2017-05-07",8
"2017-05-06",2
"2017-05-05",4
"2017-05-04",6
"2017-05-03",4
"2017-05-02",5
"2017-05-01",14
