downloads_percent,downloads_total,interval
0.00031,643,2021-09-17
0.00023,484,2021-09-18
0.00053,1086,2021-09-19
0.00061,1259,2021-09-20
0.00036,733,2021-09-21
0.00033,676,2021-09-22
0.00026,544,2021-09-23
0.00073,1503,2021-09-24
0.00025,523,2021-09-25
0.00018,371,2021-09-26
0.00054,1115,2021-09-27
0.00053,1085,2021-09-28
0.00024,493,2021-09-29
0.00025,508,2021-09-30
0.0002,403,2021-10-01
0.00042,866,2021-10-02
0.00023,466,2021-10-03
0.00068,1410,2021-10-04
0.00096,1978,2021-10-05
0.00081,1664,2021-10-06
0.00101,2089,2021-10-07
0.00064,1326,2021-10-08
0.00032,667,2021-10-09
0.00049,1002,2021-10-10
0.00073,1514,2021-10-11
0.00091,1874,2021-10-12
0.00065,1331,2021-10-13
0.00034,693,2021-10-14
0.00135,2793,2021-10-15
0.00037,763,2021-10-16
0.00027,566,2021-10-17
0.00072,1488,2021-10-18
0.00055,1144,2021-10-19
0.00031,648,2021-10-20
0.00035,719,2021-10-21
0.00084,1735,2021-10-22
0.00039,796,2021-10-23
0.00036,733,2021-10-24
0.00024,501,2021-10-25
0.00024,485,2021-10-26
0.00015,311,2021-10-27
0.00027,549,2021-10-28
0.00102,2097,2021-10-29
0.00027,553,2021-10-30
0.00097,1991,2021-10-31
0.00039,795,2021-11-01
0.00028,569,2021-11-02
0.00019,396,2021-11-03
0.00094,1937,2021-11-04
0.0005,1021,2021-11-05
0.00026,533,2021-11-06
0.0005,1021,2021-11-07
0.00085,1747,2021-11-08
0.00067,1392,2021-11-09
0.00094,1938,2021-11-10
0.0013,2684,2021-11-11
0.00052,1070,2021-11-12
0.00042,871,2021-11-13
0.00058,1196,2021-11-14
0.00108,2224,2021-11-15
0.00094,1948,2021-11-16
0.00046,951,2021-11-17
0.001,2053,2021-11-18
0.0003,626,2021-11-19
0.00016,327,2021-11-20
0.0002,403,2021-11-21
0.00025,508,2021-11-22
0.00017,347,2021-11-23
0.00018,378,2021-11-24
0.00096,1989,2021-11-25
0.00076,1563,2021-11-26
0.00029,597,2021-11-27
0.00035,724,2021-11-28
0.00071,1459,2021-11-29
0.00094,1943,2021-11-30
0.00045,924,2021-12-01
0.00071,1454,2021-12-02
0.00056,1157,2021-12-03
0.00029,594,2021-12-04
0.00025,509,2021-12-05
0.00067,1389,2021-12-06
0.00063,1303,2021-12-07
0.00043,885,2021-12-08
0.00074,1525,2021-12-09
0.00033,671,2021-12-10
0.00032,657,2021-12-11
0.00019,401,2021-12-12
0.00028,574,2021-12-13
0.00033,678,2021-12-14
0.0003,625,2021-12-15
0.00026,534,2021-12-16
0.00133,2750,2021-12-17
0.00107,2197,2021-12-18
0.00033,689,2021-12-19
0.00095,1958,2021-12-20
0.00066,1363,2021-12-21
0.00034,700,2021-12-22
0.00048,996,2021-12-23
0.00043,886,2021-12-24
0.00021,428,2021-12-25
0.00019,399,2021-12-26
0.00141,2911,2021-12-27
0.00094,1944,2021-12-28
0.00066,1370,2021-12-29
0.00025,508,2021-12-30
0.00025,511,2021-12-31
0.00026,532,2022-01-01
0.00026,540,2022-01-02
0.00103,2119,2022-01-03
0.00053,1085,2022-01-04
0.00073,1503,2022-01-05
0.00086,1775,2022-01-06
0.0004,829,2022-01-07
0.00039,800,2022-01-08
0.00024,499,2022-01-09
0.0009,1861,2022-01-10
0.0005,1024,2022-01-11
0.00051,1044,2022-01-12
0.00093,1916,2022-01-13
0.00036,749,2022-01-14
0.00019,399,2022-01-15
0.00026,543,2022-01-16
0.00033,677,2022-01-17
0.00038,790,2022-01-18
0.00036,750,2022-01-19
0.0011,2267,2022-01-20
0.00026,536,2022-01-21
0.00032,668,2022-01-22
0.00034,710,2022-01-23
0.00035,731,2022-01-24
0.00051,1058,2022-01-25
0.00063,1301,2022-01-26
0.00116,2392,2022-01-27
0.00042,875,2022-01-28
0.00043,880,2022-01-29
0.00035,715,2022-01-30
0.00145,2992,2022-01-31
0.00108,2225,2022-02-01
0.00033,684,2022-02-02
0.00102,2100,2022-02-03
0.0006,1246,2022-02-04
0.00041,851,2022-02-05
0.00056,1148,2022-02-06
0.00107,2216,2022-02-07
0.00129,2667,2022-02-08
0.00051,1050,2022-02-09
0.00126,2592,2022-02-10
0.00097,1999,2022-02-11
0.00077,1584,2022-02-12
0.00055,1140,2022-02-13
0.00125,2588,2022-02-14
0.00096,1977,2022-02-15
0.00066,1361,2022-02-16
0.00108,2221,2022-02-17
0.00032,670,2022-02-18
0.00053,1097,2022-02-19
0.00025,523,2022-02-20
0.00078,1616,2022-02-21
0.00077,1588,2022-02-22
0.00075,1547,2022-02-23
0.00043,887,2022-02-24
0.00078,1615,2022-02-25
0.0003,629,2022-02-26
0.00058,1199,2022-02-27
0.00093,1910,2022-02-28
0.00134,2768,2022-03-01
0.00074,1525,2022-03-02
0.00106,2184,2022-03-03
0.00061,1258,2022-03-04
0.0005,1035,2022-03-05
0.00049,1012,2022-03-06
0.001,2071,2022-03-07
0.00136,2812,2022-03-08
0.00061,1258,2022-03-09
0.00046,951,2022-03-10
0.00039,810,2022-03-11
0.00024,498,2022-03-12
0.0002,406,2022-03-13
0.00084,1735,2022-03-14
0.00092,1903,2022-03-15
0.0005,1032,2022-03-16
0.00038,775,2022-03-17
0.00092,1894,2022-03-18
0.00053,1085,2022-03-19
0.00049,1015,2022-03-20
0.00069,1416,2022-03-21
0.00088,1818,2022-03-22
0.00056,1165,2022-03-23
0.00041,839,2022-03-24
0.00074,1516,2022-03-25
0.00019,400,2022-03-26
0.00036,736,2022-03-27
0.00058,1195,2022-03-28
0.00079,1633,2022-03-29
0.00076,1560,2022-03-30
0.0009,1860,2022-03-31
0.00052,1072,2022-04-01
0.0003,615,2022-04-02
0.00026,533,2022-04-03
0.00089,1835,2022-04-04
0.00132,2725,2022-04-05
0.0006,1236,2022-04-06
0.0008,1653,2022-04-07
0.00047,979,2022-04-08
0.00053,1101,2022-04-09
0.00039,807,2022-04-10
0.0004,817,2022-04-11
0.00031,649,2022-04-12
0.0005,1038,2022-04-13
0.00017,344,2022-04-14
0.00046,951,2022-04-15
0.00024,502,2022-04-16
0.00039,813,2022-04-17
0.00091,1874,2022-04-18
0.001,2072,2022-04-19
0.00053,1102,2022-04-20
0.00028,574,2022-04-21
0.00033,682,2022-04-22
0.00028,584,2022-04-23
0.00031,647,2022-04-24
0.00031,640,2022-04-25
0.00107,2197,2022-04-26
0.00058,1202,2022-04-27
0.00036,736,2022-04-28
0.00023,475,2022-04-29
0.00041,839,2022-04-30
0.00037,763,2022-05-01
0.00043,883,2022-05-02
0.00035,720,2022-05-03
0.00035,718,2022-05-04
0.00039,794,2022-05-05
0.00029,607,2022-05-06
0.00034,694,2022-05-07
0.00028,579,2022-05-08
0.00042,861,2022-05-09
0.00027,549,2022-05-10
0.00016,322,2022-05-11
0.00021,430,2022-05-12
0.00019,385,2022-05-13
0.00015,302,2022-05-14
0.00027,549,2022-05-15
0.00166,3423,2022-05-16
0.00089,1833,2022-05-17
0.00057,1183,2022-05-18
0.00058,1206,2022-05-19
0.00061,1258,2022-05-20
0.00034,711,2022-05-21
0.00057,1167,2022-05-22
0.00156,3207,2022-05-23
0.00057,1172,2022-05-24
0.0006,1232,2022-05-25
0.00121,2495,2022-05-26
0.00027,554,2022-05-27
0.00031,633,2022-05-28
0.00024,499,2022-05-29
0.00134,2759,2022-05-30
0.00093,1917,2022-05-31
0.00047,962,2022-06-01
0.00093,1910,2022-06-02
0.00097,2010,2022-06-03
0.00031,646,2022-06-04
0.00065,1350,2022-06-05
0.00065,1349,2022-06-06
0.00067,1383,2022-06-07
0.00038,775,2022-06-08
0.00071,1456,2022-06-09
0.00031,648,2022-06-10
0.00035,723,2022-06-11
0.00018,372,2022-06-12
0.00154,3167,2022-06-13
0.00089,1831,2022-06-14
0.00063,1297,2022-06-15
0.00075,1540,2022-06-16
0.00067,1385,2022-06-17
0.00041,848,2022-06-18
0.0005,1039,2022-06-19
0.00108,2228,2022-06-20
0.00089,1839,2022-06-21
0.0006,1232,2022-06-22
0.00039,808,2022-06-23
0.0006,1241,2022-06-24
0.00053,1087,2022-06-25
0.0004,832,2022-06-26
0.00082,1694,2022-06-27
0.00054,1113,2022-06-28
0.00058,1188,2022-06-29
0.00034,699,2022-06-30
0.00032,653,2022-07-01
0.00016,329,2022-07-02
0.00034,694,2022-07-03
0.00075,1548,2022-07-04
0.00058,1189,2022-07-05
0.0006,1235,2022-07-06
0.00057,1170,2022-07-07
0.00053,1084,2022-07-08
0.00082,1695,2022-07-09
0.00059,1225,2022-07-10
0.00077,1583,2022-07-11
0.00074,1522,2022-07-12
0.00035,717,2022-07-13
0.00042,865,2022-07-14
0.00023,465,2022-07-15
0.00051,1055,2022-07-16
0.00042,873,2022-07-17
0.00027,557,2022-07-18
0.00016,328,2022-07-19
0.00038,787,2022-07-20
0.00015,304,2022-07-21
0.00015,303,2022-07-22
0.00011,219,2022-07-23
0.00016,325,2022-07-24
0.00012,248,2022-07-25
0.00011,218,2022-07-26
0.00016,328,2022-07-27
0.00025,512,2022-07-28
0.00015,302,2022-07-29
0.00013,265,2022-07-30
0.00013,267,2022-07-31
0.00035,725,2022-08-01
0.0002,415,2022-08-02
0.00018,381,2022-08-03
0.00021,436,2022-08-04
0.00028,568,2022-08-05
0.0001,204,2022-08-06
0.0002,403,2022-08-07
0.00103,2132,2022-08-08
0.00122,2512,2022-08-09
0.00061,1268,2022-08-10
0.00029,607,2022-08-11
0.00023,482,2022-08-12
0.00026,537,2022-08-13
0.00022,452,2022-08-14
0.00094,1937,2022-08-15
0.00066,1352,2022-08-16
0.00035,724,2022-08-17
0.00032,657,2022-08-18
0.00044,904,2022-08-19
0.00028,586,2022-08-20
0.00035,732,2022-08-21
0.00041,852,2022-08-22
0.00028,574,2022-08-23
0.00018,367,2022-08-24
0.00054,1114,2022-08-25
0.0005,1040,2022-08-26
0.00023,467,2022-08-27
0.00024,505,2022-08-28
0.00031,639,2022-08-29
0.00027,567,2022-08-30
0.00045,918,2022-08-31
0.00038,788,2022-09-01
0.00045,922,2022-09-02
0.00041,844,2022-09-03
0.0004,835,2022-09-04
0.00016,321,2022-09-05
0.00085,1761,2022-09-06
0.00066,1371,2022-09-07
0.00045,923,2022-09-08
0.00033,678,2022-09-09
0.00018,378,2022-09-10
0.00024,491,2022-09-11
0.00029,604,2022-09-12
0.00099,2032,2022-09-13
0.00054,1107,2022-09-14
0.00043,893,2022-09-15
0.00025,507,2022-09-16
0.00042,870,2022-09-17
0.00027,548,2022-09-18
0.00018,370,2022-09-19
0.00037,769,2022-09-20
0.00033,688,2022-09-21
0.00025,509,2022-09-22
0.00021,441,2022-09-23
0.00022,446,2022-09-24
0.00016,336,2022-09-25
0.00016,327,2022-09-26
0.00074,1535,2022-09-27
0.00017,355,2022-09-28
0.00011,230,2022-09-29
0.00012,253,2022-09-30
0.00033,690,2022-10-01
0.00019,390,2022-10-02
0.00012,248,2022-10-03
0.00024,492,2022-10-04
0.00009,178,2022-10-05
0.0003,627,2022-10-06
0.00021,440,2022-10-07
0.00018,362,2022-10-08
0.00018,377,2022-10-09
0.00025,507,2022-10-10
0.00118,2434,2022-10-11
0.00054,1106,2022-10-12
0.00052,1074,2022-10-13
0.00055,1130,2022-10-14
0.00044,912,2022-10-15
0.00033,675,2022-10-16
0.00082,1682,2022-10-17
0.00149,3063,2022-10-18
0.00055,1143,2022-10-19
0.00057,1168,2022-10-20
0.00027,550,2022-10-21
0.00036,746,2022-10-22
0.00045,921,2022-10-23
0.00037,765,2022-10-24
0.00098,2017,2022-10-25
0.00065,1337,2022-10-26
0.00064,1321,2022-10-27
0.00037,758,2022-10-28
0.00044,898,2022-10-29
0.00028,585,2022-10-30
0.00035,730,2022-10-31
0.00148,3055,2022-11-01
0.00078,1607,2022-11-02
0.00093,1919,2022-11-03
0.0007,1437,2022-11-04
0.00029,596,2022-11-05
0.00044,898,2022-11-06
0.00033,684,2022-11-07
0.00093,1921,2022-11-08
0.00062,1279,2022-11-09
0.00043,889,2022-11-10
0.00034,698,2022-11-11
0.00027,561,2022-11-12
0.00031,632,2022-11-13
0.00044,902,2022-11-14
0.00088,1818,2022-11-15
0.00037,764,2022-11-16
0.00037,763,2022-11-17
0.00019,402,2022-11-18
0.00022,460,2022-11-19
0.00038,778,2022-11-20
0.00027,553,2022-11-21
0.00079,1620,2022-11-22
0.00067,1389,2022-11-23
0.00038,778,2022-11-24
0.00037,766,2022-11-25
0.00021,437,2022-11-26
0.0004,819,2022-11-27
0.00021,437,2022-11-28
0.0006,1241,2022-11-29
0.00063,1297,2022-11-30
0.00039,805,2022-12-01
0.0003,623,2022-12-02
0.00027,549,2022-12-03
0.00046,944,2022-12-04
0.00029,600,2022-12-05
0.00062,1287,2022-12-06
0.00056,1155,2022-12-07
0.00043,886,2022-12-08
0.00045,936,2022-12-09
0.00019,398,2022-12-10
0.00024,498,2022-12-11
0.0003,615,2022-12-12
0.00029,593,2022-12-13
0.00106,2194,2022-12-14
0.00075,1540,2022-12-15
0.00035,718,2022-12-16
0.00035,724,2022-12-17
0.00033,688,2022-12-18
0.00015,319,2022-12-19
0.00095,1953,2022-12-20
0.00039,802,2022-12-21
0.00032,657,2022-12-22
0.00039,798,2022-12-23
0.00021,441,2022-12-24
0.00022,453,2022-12-25
0.00006,134,2022-12-26
0.00046,950,2022-12-27
0.00019,394,2022-12-28
0.00024,492,2022-12-29
0.00013,268,2022-12-30
0.00016,331,2022-12-31
0.00016,322,2023-01-01
0.00013,272,2023-01-02
0.00066,1351,2023-01-03
0.00029,607,2023-01-04
0.00027,555,2023-01-05
0.00022,452,2023-01-06
0.00036,752,2023-01-07
0.00027,550,2023-01-08
0.00027,566,2023-01-09
0.00079,1626,2023-01-10
0.00042,875,2023-01-11
0.00038,775,2023-01-12
0.00044,900,2023-01-13
0.00023,472,2023-01-14
0.00017,352,2023-01-15
0.00024,490,2023-01-16
0.00058,1190,2023-01-17
0.00029,588,2023-01-18
0.00016,328,2023-01-19
0.00017,359,2023-01-20
0.00017,360,2023-01-21
0.00031,638,2023-01-22
0.00021,443,2023-01-23
0.00087,1788,2023-01-24
0.00043,884,2023-01-25
0.00025,525,2023-01-26
0.00035,732,2023-01-27
0.00024,493,2023-01-28
