downloads_percent,downloads_total,interval
0.00118,2440,2019-09-13
0.00057,1169,2019-09-14
0.00057,1170,2019-09-15
0.00048,980,2019-09-16
0.0007,1438,2019-09-17
0.00059,1227,2019-09-18
0.00101,2078,2019-09-19
0.00107,2207,2019-09-20
0.00073,1501,2019-09-21
0.00087,1797,2019-09-22
0.00095,1967,2019-09-23
0.00118,2430,2019-09-24
0.00077,1595,2019-09-25
0.0011,2275,2019-09-26
0.00147,3039,2019-09-27
0.00099,2041,2019-09-28
0.00104,2144,2019-09-29
0.00062,1283,2019-09-30
0.00048,995,2019-10-01
0.00165,3396,2019-10-02
0.00153,3149,2019-10-03
0.00074,1527,2019-10-04
0.00101,2073,2019-10-05
0.00048,980,2019-10-06
0.00078,1607,2019-10-07
0.00086,1772,2019-10-08
0.00075,1553,2019-10-09
0.0009,1849,2019-10-10
0.00149,3066,2019-10-11
0.00113,2325,2019-10-12
0.00065,1334,2019-10-13
0.0005,1034,2019-10-14
0.00032,657,2019-10-15
0.00121,2494,2019-10-16
0.00147,3025,2019-10-17
0.00188,3887,2019-10-18
0.00101,2087,2019-10-19
0.00075,1551,2019-10-20
0.00207,4279,2019-10-21
0.00073,1496,2019-10-22
0.00059,1208,2019-10-23
0.00125,2573,2019-10-24
0.00045,936,2019-10-25
0.00057,1166,2019-10-26
0.00059,1208,2019-10-27
0.00052,1068,2019-10-28
0.00035,731,2019-10-29
0.00111,2288,2019-10-30
0.00152,3128,2019-10-31
0.00084,1739,2019-11-01
0.00097,1998,2019-11-02
0.00029,607,2019-11-03
0.00083,1713,2019-11-04
0.00101,2085,2019-11-05
0.00091,1867,2019-11-06
0.0008,1654,2019-11-07
0.00076,1561,2019-11-08
0.00095,1955,2019-11-09
0.0008,1644,2019-11-10
0.00052,1078,2019-11-11
0.00058,1205,2019-11-12
0.00078,1614,2019-11-13
0.00016,340,2019-11-14
0.00102,2108,2019-11-15
0.00068,1398,2019-11-16
0.00145,2984,2019-11-17
0.00148,3052,2019-11-18
0.001,2068,2019-11-19
0.00024,488,2019-11-20
0.00082,1686,2019-11-21
0.00064,1325,2019-11-22
0.00088,1817,2019-11-23
0.00028,578,2019-11-24
0.00138,2841,2019-11-25
0.00044,913,2019-11-26
0.00047,965,2019-11-27
0.00062,1270,2019-11-28
0.00022,447,2019-11-29
0.00037,765,2019-11-30
0.00043,894,2019-12-01
0.00098,2018,2019-12-02
0.00123,2540,2019-12-03
0.00164,3388,2019-12-04
0.00033,685,2019-12-05
0.00045,922,2019-12-06
0.00017,359,2019-12-07
0.00044,911,2019-12-08
0.00073,1514,2019-12-09
0.00145,2983,2019-12-10
0.00073,1500,2019-12-11
0.00056,1162,2019-12-12
0.00161,3325,2019-12-13
0.00029,590,2019-12-14
0.00084,1724,2019-12-15
0.00059,1220,2019-12-16
0.00084,1725,2019-12-17
0.00131,2696,2019-12-18
0.00069,1415,2019-12-19
0.00168,3466,2019-12-20
0.00106,2195,2019-12-21
0.00039,795,2019-12-22
0.0013,2687,2019-12-23
0.00044,906,2019-12-24
0.0004,826,2019-12-25
0.00082,1685,2019-12-26
