"date","year","month","day","total_downloads"
"2017-06-13",2017,"June",13,917
"2017-06-14",2017,"June",14,894
"2017-06-15",2017,"June",15,497
"2017-06-16",2017,"June",16,316
"2017-06-17",2017,"June",17,127
"2017-06-18",2017,"June",18,75
"2017-06-19",2017,"June",19,114
"2017-06-20",2017,"June",20,59
"2017-06-21",2017,"June",21,56
"2017-06-22",2017,"June",22,29
"2017-06-23",2017,"June",23,13
"2017-06-24",2017,"June",24,16
