"region","requests"
"Alaska","31"
"Alabama","94"
"Arkansas","32"
"Arizona","369"
"California","4182"
"Colorado","422"
"Connecticut","244"
"District of Columbia","123"
"Delaware","21"
"Florida","1059"
"Georgia","428"
"Hawaii","186"
"Iowa","62"
"Idaho","79"
"Illinois","1257"
"Indiana","161"
"Kansas","130"
"Kentucky","109"
"Louisiana","69"
"Massachusetts","554"
"Maryland","505"
"Maine","30"
"Michigan","353"
"Minnesota","187"
"Missouri","155"
"Mississippi","28"
"Montana","20"
"North Carolina","415"
"North Dakota","13"
"Nebraska","67"
"New Hampshire","137"
"New Jersey","507"
"New Mexico","77"
"Armed Forces Europe Middle East & Canada","45"
"Nevada","176"
"New York","1645"
"Ohio","368"
"Oklahoma","190"
"Oregon","374"
"Pennsylvania","484"
"Rhode Island","76"
"South Carolina","147"
"South Dakota","22"
"Tennessee","157"
"Texas","1439"
"Utah","137"
"Virginia","400"
"Vermont","16"
"Washington","790"
"Wisconsin","517"
"West Virginia","22"
"Wyoming","2"
