"region","requests"
"Anonymous Proxy","16"
"Andorra","12"
"United Arab Emirates","108"
"Albania","13"
"Argentina","47"
"Austria","108"
"Australia","2763"
"Aruba","1"
"Aland Islands","9"
"Bosnia and Herzegovina","3"
"Barbados","6"
"Bangladesh","18"
"Belgium","148"
"Bulgaria","68"
"Bahrain","2"
"Bermuda","62"
"Bolivia","7"
"Bonaire Saint Eustatius and Saba","17"
"Brazil","311"
"Bahamas","13"
"Belarus","6"
"Canada","2385"
"Switzerland","301"
"Chile","36"
"China","150"
"Colombia","98"
"Costa Rica","118"
"Cuba","8"
"Cyprus","28"
"Czech Republic","179"
"Germany","1211"
"Denmark","98"
"Dominican Republic","26"
"Algeria","4"
"Ecuador","14"
"Estonia","35"
"Egypt","25"
"Spain","453"
"Europe","110"
"Finland","67"
"France","360"
"United Kingdom","2904"
"Georgia","1"
"Ghana","33"
"Gibraltar","2"
"Greenland","2"
"Guadeloupe","7"
"Greece","21"
"Guam","13"
"Hong Kong","190"
"Croatia","37"
"Haiti","2"
"Hungary","24"
"Indonesia","38"
"Ireland","404"
"Israel","115"
"Isle of Man","16"
"India","396"
"Iran Islamic Republic of","1"
"Iceland","25"
"Italy","195"
"Jersey","12"
"Jamaica","2"
"Japan","396"
"Kenya","33"
"Kyrgyzstan","1"
"Cambodia","38"
"Korea Republic of","91"
"Kuwait","8"
"Cayman Islands","4"
"Sri Lanka","9"
"Lithuania","153"
"Luxembourg","27"
"Latvia","25"
"Libyan Arab Jamahiriya","1"
"Morocco","11"
"Monaco","3"
"Moldova Republic of","11"
"Myanmar","1"
"Macau","27"
"Montserrat","1"
"Malta","27"
"Mauritius","1"
"Mexico","130"
"Malaysia","105"
"Namibia","2"
"Nigeria","10"
"Netherlands","846"
"Norway","528"
"Nepal","3"
"New Zealand","385"
"Panama","9"
"Peru","32"
"Philippines","183"
"Pakistan","19"
"Poland","137"
"Puerto Rico","18"
"Portugal","88"
"Paraguay","2"
"Qatar","20"
"Romania","204"
"Serbia","19"
"Russian Federation","130"
"Saudi Arabia","43"
"Sweden","431"
"Singapore","273"
"Slovenia","71"
"Slovakia","45"
"Togo","1"
"Thailand","197"
"Turkey","146"
"Taiwan","80"
"Tanzania United Republic of","17"
"Ukraine","42"
"United States","27245"
"Uruguay","9"
"Venezuela","6"
"Vietnam","118"
"South Africa","494"
"Zambia","2"
