"item_title","release_date","downloads__june","downloads__may","downloads__april","downloads__total"
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",1003,0,0,1003
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",987,0,0,987
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",1006,0,0,1006
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",1038,0,0,1038
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",978,0,0,978
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",503,490,0,993
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",152,584,0,736
"TBP60 - Release the Kraken","2016-05-23 03:32:09",233,1513,0,1746
"TBP59 - Incredible India","2016-05-16 15:40:00",77,755,0,832
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",68,1417,0,1485
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",85,1735,0,1820
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",50,614,0,664
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",44,214,636,894
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",26,64,498,588
"TBP53 - Tough Math","2016-04-17 16:24:01",33,94,924,1051
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",27,51,486,564
"TBP51 - Such Wow","2016-04-10 17:09:46",25,47,468,540
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",28,31,643,702
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",32,40,413,738
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",23,44,77,604
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",27,29,34,489
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",23,37,40,737
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",23,32,53,585
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",30,40,25,541
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",18,28,41,586
"TBP42 - True Micropayments","2016-02-21 23:13:15",19,24,17,722
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",25,25,18,528
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",26,35,16,1154
"TBP39 - Running the Gamut","2016-02-07 20:14:46",18,19,7,801
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",13,17,10,561
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",18,16,12,538
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",9,14,6,501
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",15,22,18,983
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",11,17,12,740
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",22,25,7,629
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",22,23,7,692
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",15,13,21,442
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",10,10,3,447
"TBP29 - Take the Power Back","2015-12-06 16:35:49",17,15,34,553
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",14,31,5,531
"TBP27 - London Calling","2015-11-22 16:30:21",10,11,3,527
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",9,17,2,479
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",8,12,6,412
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",14,19,11,584
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",11,11,5,349
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",15,17,3,291
"TBP21 - Call For Papers","2015-10-10 13:06:37",17,11,3,333
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",14,21,11,336
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",16,17,2,381
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",12,9,3,357
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",12,10,2,463
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",13,13,6,387
"TBP15 - Ants Marching","2015-08-30 19:31:14",12,12,5,351
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",12,12,6,496
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",13,10,4,407
"TBP12 - Boring Economics","2015-08-08 00:53:49",17,13,7,567
"TBP11 - The End of Money","2015-08-03 04:12:02",10,20,6,505
"TBP10 - Bottoms Up","2015-07-24 13:32:59",14,10,6,417
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",7,13,7,457
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",11,12,6,533
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",18,11,5,446
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",8,13,5,400
"TBP05 - The World's Strongest","2015-06-28 22:55:15",11,25,14,470
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",12,26,32,550
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",15,30,19,528
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",29,38,20,599
"Episode #1 - Introduction","2015-06-01 00:34:44",89,59,55,943
