"region","total_downloads"
", United States",4613
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",350
"Armed Forces Pacific, United States",3
"Arkansas, United States",183
"Arizona, United States",1156
"California, United States",18344
"Colorado, United States",2602
"Connecticut, United States",856
"District of Columbia, United States",1053
"Delaware, United States",1102
"Florida, United States",3628
"Georgia, United States",2037
"Hawaii, United States",315
"Iowa, United States",476
"Idaho, United States",152
"Illinois, United States",3611
"Indiana, United States",676
"Kansas, United States",782
"Kentucky, United States",480
"Louisiana, United States",396
"Massachusetts, United States",1524
"Maryland, United States",1801
"Maine, United States",95
"Michigan, United States",1243
"Minnesota, United States",860
"Missouri, United States",931
"Mississippi, United States",185
"Montana, United States",450
"North Carolina, United States",1523
"North Dakota, United States",38
"Nebraska, United States",205
"New Hampshire, United States",240
"New Jersey, United States",2800
"New Mexico, United States",223
"Nevada, United States",883
"New York, United States",5093
"Ohio, United States",1498
"Oklahoma, United States",487
"Oregon, United States",1684
"Pennsylvania, United States",2510
"Rhode Island, United States",170
"South Carolina, United States",486
"South Dakota, United States",210
"Tennessee, United States",737
"Texas, United States",9019
"Utah, United States",780
"Virginia, United States",6346
"Vermont, United States",91
"Washington, United States",3572
"Wisconsin, United States",1052
"West Virginia, United States",74
"Wyoming, United States",32
