"region","total_downloads"
", United States",3674
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",197
"Armed Forces Pacific, United States",2
"Arkansas, United States",120
"Arizona, United States",905
"California, United States",13257
"Colorado, United States",1710
"Connecticut, United States",610
"District of Columbia, United States",778
"Delaware, United States",351
"Florida, United States",2476
"Georgia, United States",1364
"Hawaii, United States",202
"Iowa, United States",331
"Idaho, United States",84
"Illinois, United States",2346
"Indiana, United States",459
"Kansas, United States",754
"Kentucky, United States",373
"Louisiana, United States",315
"Massachusetts, United States",986
"Maryland, United States",1282
"Maine, United States",82
"Michigan, United States",902
"Minnesota, United States",612
"Missouri, United States",685
"Mississippi, United States",102
"Montana, United States",385
"North Carolina, United States",1107
"North Dakota, United States",38
"Nebraska, United States",139
"New Hampshire, United States",166
"New Jersey, United States",1977
"New Mexico, United States",192
"Nevada, United States",627
"New York, United States",3678
"Ohio, United States",1151
"Oklahoma, United States",321
"Oregon, United States",1116
"Pennsylvania, United States",1558
"Rhode Island, United States",94
"South Carolina, United States",256
"South Dakota, United States",173
"Tennessee, United States",423
"Texas, United States",7165
"Utah, United States",426
"Virginia, United States",3952
"Vermont, United States",78
"Washington, United States",2382
"Wisconsin, United States",689
"West Virginia, United States",72
"Wyoming, United States",23
