"region","total_downloads"
", United States",4979
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",464
"Armed Forces Pacific, United States",3
"Arkansas, United States",197
"Arizona, United States",1244
"California, United States",21048
"Colorado, United States",2815
"Connecticut, United States",961
"District of Columbia, United States",1147
"Delaware, United States",1139
"Florida, United States",3974
"Georgia, United States",2261
"Hawaii, United States",345
"Iowa, United States",530
"Idaho, United States",205
"Illinois, United States",3964
"Indiana, United States",772
"Kansas, United States",816
"Kentucky, United States",518
"Louisiana, United States",448
"Massachusetts, United States",1738
"Maryland, United States",2008
"Maine, United States",145
"Michigan, United States",1394
"Minnesota, United States",1026
"Missouri, United States",1068
"Mississippi, United States",214
"Montana, United States",458
"North Carolina, United States",2169
"North Dakota, United States",48
"Nebraska, United States",247
"New Hampshire, United States",243
"New Jersey, United States",3227
"New Mexico, United States",248
"Nevada, United States",1012
"New York, United States",5738
"Ohio, United States",1685
"Oklahoma, United States",523
"Oregon, United States",1908
"Pennsylvania, United States",2830
"Rhode Island, United States",202
"South Carolina, United States",547
"South Dakota, United States",220
"Tennessee, United States",857
"Texas, United States",9759
"Utah, United States",875
"Virginia, United States",8935
"Vermont, United States",97
"Washington, United States",3982
"Wisconsin, United States",1145
"West Virginia, United States",79
"Wyoming, United States",37
