"region","total_downloads"
", United States",4823
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",442
"Armed Forces Pacific, United States",3
"Arkansas, United States",186
"Arizona, United States",1198
"California, United States",19524
"Colorado, United States",2700
"Connecticut, United States",908
"District of Columbia, United States",1096
"Delaware, United States",1106
"Florida, United States",3790
"Georgia, United States",2169
"Hawaii, United States",335
"Iowa, United States",495
"Idaho, United States",192
"Illinois, United States",3770
"Indiana, United States",729
"Kansas, United States",799
"Kentucky, United States",504
"Louisiana, United States",423
"Massachusetts, United States",1626
"Maryland, United States",1923
"Maine, United States",99
"Michigan, United States",1314
"Minnesota, United States",909
"Missouri, United States",1033
"Mississippi, United States",204
"Montana, United States",453
"North Carolina, United States",1695
"North Dakota, United States",38
"Nebraska, United States",229
"New Hampshire, United States",240
"New Jersey, United States",3066
"New Mexico, United States",230
"Nevada, United States",959
"New York, United States",5428
"Ohio, United States",1567
"Oklahoma, United States",509
"Oregon, United States",1739
"Pennsylvania, United States",2678
"Rhode Island, United States",187
"South Carolina, United States",523
"South Dakota, United States",215
"Tennessee, United States",812
"Texas, United States",9404
"Utah, United States",828
"Virginia, United States",6705
"Vermont, United States",95
"Washington, United States",3789
"Wisconsin, United States",1079
"West Virginia, United States",74
"Wyoming, United States",32
