"item_title","release_date","downloads__july","downloads__june","downloads__may","downloads__total"
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",136,0,0,136
"TBP70 - Whitehat","2016-07-03 16:51:42",1077,0,0,1077
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",475,323,0,798
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",217,1437,0,1654
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",104,1165,0,1269
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",43,1043,0,1086
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",24,1038,0,1062
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",31,1074,0,1105
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",15,1005,0,1020
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",9,518,490,1017
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",15,165,584,764
"TBP60 - Release the Kraken","2016-05-23 03:32:09",30,262,1513,1805
"TBP59 - Incredible India","2016-05-16 15:40:00",6,90,755,851
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",14,82,1417,1513
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",11,94,1735,1840
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",9,61,614,684
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",10,51,214,911
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",5,30,64,597
"TBP53 - Tough Math","2016-04-17 16:24:01",17,38,94,1073
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",5,32,51,574
"TBP51 - Such Wow","2016-04-10 17:09:46",10,29,47,554
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",8,31,31,713
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",12,37,40,755
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",11,28,44,620
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",14,33,29,509
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",15,25,37,754
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",16,29,32,607
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",18,34,40,563
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",10,22,28,600
"TBP42 - True Micropayments","2016-02-21 23:13:15",9,23,24,735
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",15,29,25,547
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",13,32,35,1173
"TBP39 - Running the Gamut","2016-02-07 20:14:46",11,22,19,816
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",10,16,17,574
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",10,20,16,550
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",8,10,14,510
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",5,18,22,991
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",10,17,17,756
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",8,24,25,639
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",8,23,23,701
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",8,16,13,451
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",3,11,10,451
"TBP29 - Take the Power Back","2015-12-06 16:35:49",9,18,15,563
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",5,14,31,536
"TBP27 - London Calling","2015-11-22 16:30:21",8,10,11,535
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",10,12,17,492
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",2,8,12,414
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",6,17,19,593
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",8,11,11,357
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",8,15,17,299
"TBP21 - Call For Papers","2015-10-10 13:06:37",9,17,11,342
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",9,14,21,345
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",8,16,17,389
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",8,12,9,365
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",3,12,10,466
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",9,13,13,396
"TBP15 - Ants Marching","2015-08-30 19:31:14",9,12,12,360
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",11,12,12,507
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",8,13,10,415
"TBP12 - Boring Economics","2015-08-08 00:53:49",10,18,13,578
"TBP11 - The End of Money","2015-08-03 04:12:02",8,10,20,513
"TBP10 - Bottoms Up","2015-07-24 13:32:59",3,14,10,420
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",10,7,13,467
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",10,11,12,543
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",9,20,11,457
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",9,8,13,409
"TBP05 - The World's Strongest","2015-06-28 22:55:15",11,14,25,484
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",12,13,26,563
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",10,15,30,538
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",12,29,38,611
"Episode #1 - Introduction","2015-06-01 00:34:44",33,95,59,982
