"region","total_downloads"
", United States",3971
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",121
"Alabama, United States",261
"Armed Forces Pacific, United States",3
"Arkansas, United States",173
"Arizona, United States",996
"California, United States",15080
"Colorado, United States",2149
"Connecticut, United States",716
"District of Columbia, United States",888
"Delaware, United States",397
"Florida, United States",2865
"Georgia, United States",1688
"Hawaii, United States",227
"Iowa, United States",396
"Idaho, United States",86
"Illinois, United States",2766
"Indiana, United States",576
"Kansas, United States",762
"Kentucky, United States",410
"Louisiana, United States",359
"Massachusetts, United States",1184
"Maryland, United States",1481
"Maine, United States",82
"Michigan, United States",999
"Minnesota, United States",693
"Missouri, United States",792
"Mississippi, United States",135
"Montana, United States",396
"North Carolina, United States",1256
"North Dakota, United States",38
"Nebraska, United States",150
"New Hampshire, United States",223
"New Jersey, United States",2311
"New Mexico, United States",208
"Nevada, United States",689
"New York, United States",4263
"Ohio, United States",1212
"Oklahoma, United States",407
"Oregon, United States",1392
"Pennsylvania, United States",1826
"Rhode Island, United States",104
"South Carolina, United States",311
"South Dakota, United States",185
"Tennessee, United States",546
"Texas, United States",7939
"Utah, United States",620
"Virginia, United States",5194
"Vermont, United States",83
"Washington, United States",2753
"Wisconsin, United States",743
"West Virginia, United States",74
"Wyoming, United States",26
