"region","total_downloads"
", United States",6815
"Armed Forces Europe, Middle East, & Canada, United States",76
"Alaska, United States",167
"Alabama, United States",1022
"Armed Forces Pacific, United States",13
"Arkansas, United States",375
"Arizona, United States",2032
"California, United States",37074
"Colorado, United States",4434
"Connecticut, United States",1907
"District of Columbia, United States",1816
"Delaware, United States",1411
"Florida, United States",6741
"Georgia, United States",3868
"Hawaii, United States",615
"Iowa, United States",820
"Idaho, United States",471
"Illinois, United States",6466
"Indiana, United States",1111
"Kansas, United States",1004
"Kentucky, United States",781
"Louisiana, United States",1034
"Massachusetts, United States",3130
"Maryland, United States",3715
"Maine, United States",310
"Michigan, United States",2393
"Minnesota, United States",1810
"Missouri, United States",1625
"Mississippi, United States",593
"Montana, United States",570
"North Carolina, United States",5283
"North Dakota, United States",82
"Nebraska, United States",500
"New Hampshire, United States",365
"New Jersey, United States",5660
"New Mexico, United States",402
"Nevada, United States",1848
"New York, United States",10932
"Ohio, United States",2725
"Oklahoma, United States",669
"Oregon, United States",3201
"Pennsylvania, United States",4739
"Rhode Island, United States",317
"South Carolina, United States",885
"South Dakota, United States",256
"Tennessee, United States",1991
"Texas, United States",15548
"Utah, United States",1490
"Virginia, United States",12925
"Vermont, United States",174
"Washington, United States",6207
"Wisconsin, United States",1775
"West Virginia, United States",126
"Wyoming, United States",45
