"user_agent","total_downloads"
"Podbean",1
"facebookexternalhit",2
"okhttp",139
"Mozilla",27
"Overcast",101
"AppleCoreMedia",417
"iTunes",42
"Chrome",30
"Lavf",1
"Pocket Casts",91
"RSSRadio",4
"Downcast",11
"PodcastAddict",49
"StitcherBot",93
"Player FM",14
"Dalvik",8
"EMAudioPlayer",3
"AntennaPod",5
"MSIE",1
"Safari",88
"Samsung SCH-I",1
"AndroidDownloadManager",2
"Firefox",6
"Podkicker Pro",1
"Castro",2
"gPodder",1
"Samsung SM-N",2
"itunesstored",3
"Wget",1
"Podkicker",2
"excon",1
