"region","requests"
"Anonymous Proxy","3"
"United Arab Emirates","48"
"Albania","3"
"Argentina","7"
"Austria","73"
"Australia","1758"
"Aruba","1"
"Aland Islands","2"
"Bosnia and Herzegovina","9"
"Barbados","7"
"Bangladesh","3"
"Belgium","134"
"Bulgaria","35"
"Bahrain","5"
"Bermuda","20"
"Bolivia","4"
"Brazil","131"
"Bahamas","7"
"Belarus","4"
"Canada","1248"
"Switzerland","163"
"Chile","10"
"China","87"
"Colombia","15"
"Costa Rica","96"
"Cuba","1"
"Curaao","1"
"Cyprus","8"
"Czech Republic","47"
"Germany","551"
"Denmark","40"
"Dominican Republic","14"
"Algeria","3"
"Ecuador","37"
"Estonia","15"
"Egypt","3"
"Spain","190"
"Europe","46"
"Finland","16"
"France","177"
"United Kingdom","1527"
"Georgia","21"
"Ghana","11"
"Gibraltar","4"
"Guadeloupe","1"
"Greece","7"
"Guatemala","1"
"Guam","4"
"Hong Kong","57"
"Croatia","14"
"Hungary","3"
"Indonesia","26"
"Ireland","129"
"Israel","120"
"Isle of Man","3"
"India","160"
"Iran Islamic Republic of","3"
"Iceland","10"
"Italy","57"
"Jamaica","3"
"Japan","363"
"Kenya","5"
"Cambodia","7"
"Korea Republic of","59"
"Kuwait","10"
"Cayman Islands","3"
"Saint Lucia","2"
"Sri Lanka","5"
"Liberia","1"
"Lithuania","25"
"Luxembourg","10"
"Latvia","5"
"Morocco","8"
"Moldova Republic of","1"
"Mongolia","1"
"Macau","6"
"Malta","6"
"Mexico","60"
"Malaysia","172"
"Nigeria","6"
"Nicaragua","4"
"Netherlands","272"
"Norway","167"
"Nepal","4"
"New Zealand","243"
"Oman","1"
"Panama","4"
"Peru","6"
"Philippines","34"
"Pakistan","8"
"Poland","62"
"Puerto Rico","10"
"Portugal","33"
"Qatar","4"
"Romania","33"
"Serbia","12"
"Russian Federation","40"
"Saudi Arabia","36"
"Sweden","230"
"Singapore","146"
"Slovenia","24"
"Slovakia","12"
"Thailand","99"
"Turkey","52"
"Trinidad and Tobago","1"
"Taiwan","37"
"Ukraine","17"
"United States","11816"
"Uruguay","2"
"Venezuela","6"
"Vietnam","52"
"South Africa","344"
