"region","requests"
"Alaska","28"
"Alabama","69"
"Arkansas","43"
"Arizona","304"
"California","4152"
"Colorado","399"
"Connecticut","279"
"District of Columbia","83"
"Delaware","22"
"Florida","964"
"Georgia","412"
"Hawaii","123"
"Iowa","55"
"Idaho","51"
"Illinois","656"
"Indiana","136"
"Kansas","145"
"Kentucky","78"
"Louisiana","87"
"Massachusetts","447"
"Maryland","329"
"Maine","16"
"Michigan","290"
"Minnesota","234"
"Missouri","168"
"Mississippi","33"
"Montana","21"
"North Carolina","452"
"North Dakota","41"
"Nebraska","60"
"New Hampshire","38"
"New Jersey","555"
"New Mexico","60"
"Armed Forces Europe Middle East & Canada","27"
"Nevada","223"
"New York","1551"
"Ohio","341"
"Oklahoma","79"
"Oregon","251"
"Pennsylvania","379"
"Rhode Island","60"
"South Carolina","103"
"South Dakota","13"
"Tennessee","234"
"Texas","1828"
"Utah","241"
"Virginia","380"
"Vermont","77"
"Washington","726"
"Wisconsin","170"
"West Virginia","26"
"Wyoming","14"
