"region","total_downloads"
", United States",7618
"Armed Forces Europe, Middle East, & Canada, United States",102
"Alaska, United States",292
"Alabama, United States",1361
"Armed Forces Pacific, United States",19
"Arkansas, United States",523
"Arizona, United States",2685
"California, United States",48943
"Colorado, United States",5455
"Connecticut, United States",2458
"District of Columbia, United States",2276
"Delaware, United States",1686
"Florida, United States",10492
"Georgia, United States",5323
"Hawaii, United States",843
"Iowa, United States",1148
"Idaho, United States",580
"Illinois, United States",8385
"Indiana, United States",1559
"Kansas, United States",1131
"Kentucky, United States",1014
"Louisiana, United States",1502
"Massachusetts, United States",4198
"Maryland, United States",5007
"Maine, United States",392
"Michigan, United States",3116
"Minnesota, United States",2725
"Missouri, United States",1920
"Mississippi, United States",800
"Montana, United States",614
"North Carolina, United States",6932
"North Dakota, United States",133
"Nebraska, United States",784
"New Hampshire, United States",547
"New Jersey, United States",7240
"New Mexico, United States",553
"Nevada, United States",2413
"New York, United States",15709
"Ohio, United States",3565
"Oklahoma, United States",777
"Oregon, United States",3885
"Pennsylvania, United States",6244
"Rhode Island, United States",477
"South Carolina, United States",1149
"South Dakota, United States",261
"Tennessee, United States",2613
"Texas, United States",20628
"Utah, United States",2178
"Virginia, United States",14738
"Vermont, United States",292
"Washington, United States",8280
"Wisconsin, United States",2422
"West Virginia, United States",164
"Wyoming, United States",70
