"market","total_downloads"
"Portland / Auburn",118
"New York",8773
"Binghamton",100
"Macon",54
"Philadelphia",3025
"Detroit",1117
"Boston MA / Manchester",2035
"Savannah",91
"Pittsburgh",582
"Ft. Wayne",40
"Cleveland / Akron (Canton)",474
"Washington DC (Hagerstown)",13157
"Baltimore",1162
"Flint / Saginaw / Bay City",62
"Buffalo",282
"Cincinnati",322
"Charlotte",826
"Greensboro / High Point / Winston Salem",338
"Charleston",32
"Augusta",21
"Providence RI / New Bedford",231
"Columbus",28
"Burlington VT / Plattsburgh",131
"Atlanta",2149
"Albany",24
"Utica",55
"Indianapolis",456
"Miami / Ft. Lauderdale",1383
"Louisville",315
"Tallahassee FL / Thomasville",19
"Tri-Cities TN",14
"Albany / Schenectady / Troy",272
"Hartford & New Haven",998
"Orlando / Daytona Beach / Melbourne",681
"Columbus",234
"Youngstown",454
"Bangor",59
"Rochester",163
"Tampa / St. Petersburg (Sarasota)",662
"Traverse City / Cadillac",27
"Lexington",116
"Dayton",238
"Springfield / Holyoke",161
"Norfolk / Portsmouth / Newport News",156
"Greenville / New Bern / Washington",14
"Columbia",191
"Toledo",131
"West Palm Beach / Ft. Pierce",587
"Watertown",28
"Wilmington",165
"Lansing",114
"Presque Isle",4
"Marquette",40
"Wheeling WV / Steubenville",1
"Syracuse",160
"Richmond / Petersburg",391
"Knoxville",110
"Raleigh / Durham (Fayetteville)",1883
"Jacksonville",576
"Grand Rapids / Kalamazoo / Battle Creek",176
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",327
"Greenville / Spartanburg SC / Asheville NC / Anderson",330
"Harrisonburg",32
"Florence / Myrtle Beach",78
"Ft. Myers / Naples",199
"Roanoke / Lynchburg",105
"Johnstown / Altoona",316
"Chattanooga",71
"Salisbury",949
"Wilkes Barre / Scranton",110
"Terre Haute",17
"Lafayette",20
"Charlottesville",38
"South Bend / Elkhart",106
"Gainesville",16
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",48
"Corpus Christi",49
"Chicago",3775
"Joplin MO / Pittsburg",3
"Columbia / Jefferson City",18
"Topeka",52
"St. Louis",583
"Rockford",103
"Rochester MN / Mason City IA / Austin",9
"Shreveport",61
"Minneapolis / St. Paul",1139
"Kansas City",1071
"Milwaukee",307
"Houston",1548
"Springfield",155
"New Orleans",375
"Dallas / Ft. Worth",2808
"Sioux City",17
"Waco / Temple / Bryan",2400
"Victoria",2
"Wichita Falls TX & Lawton",4
"Birmingham",324
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",100
"Odessa / Midland",133
"Amarillo",29
"Austin",2006
"Harlingen / Weslaco / Brownsville / McAllen",9
"Cedar Rapids / Waterloo / Iowa City & Dubuque",402
"St. Joseph",11
"Jackson",57
"Memphis",303
"San Antonio",403
"Lafayette",28
"Alexandria",19
"Champaign & Springfield / Decatur",94
"Evansville",23
"Oklahoma City",432
"Lubbock",232
"Omaha",210
"Panama City",5
"Sherman TX / Ada",8
"Green Bay / Appleton",67
"Nashville",612
"San Angelo",151
"Abilene / Sweetwater",21
"Madison",820
"Ft. Smith / Fayetteville / Springdale / Rogers",31
"Tulsa",90
"Columbus / Tupelo / West Point",7
"Peoria / Bloomington",110
"Duluth MN / Superior",17
"Wichita / Hutchinson",127
"Des Moines / Ames",99
"Davenport IA / Rock Island / Moline",72
"Mobile AL / Pensacola (Ft. Walton Beach)",137
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",169
"Beaumont / Port Arthur",12
"Little Rock / Pine Bluff",193
"Montgomery (Selma)",34
"La Crosse / Eau Claire",96
"Wausau / Rhinelander",30
"Tyler / Longview(Lufkin & Nacogdoches)",28
"Hattiesburg / Laurel",8
"Baton Rouge",72
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",121
"Lincoln & Hastings / Kearney",143
"Fargo / Valley City",26
"Sioux Falls(Mitchell)",237
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",89
"Honolulu",461
"Fairbanks",1
"Biloxi / Gulfport",13
"Juneau",32
"Laredo",8
"Denver",3087
"Colorado Springs / Pueblo",83
"Phoenix",1287
"Butte / Bozeman",132
"Great Falls",26
"Billings",218
"Boise",157
"Idaho Falls / Pocatello",8
"Cheyenne WY / Scottsbluff",25
"Twin Falls",43
"Missoula",114
"Rapid City",5
"El Paso",28
"Helena",1
"Casper / Riverton",1
"Salt Lake City",1031
"Grand Junction / Montrose",17
"Tucson (Sierra Vista)",44
"Albuquerque / Santa Fe",228
"Bakersfield",168
"Eugene",167
"Eureka",8
"Los Angeles",8083
"Palm Springs",66
"San Francisco / Oakland / San Jose",11757
"Yakima / Pasco / Richland / Kennewick",625
"Reno",84
"Medford / Klamath Falls",27
"Seattle / Tacoma",3914
"Portland",1331
"Bend",226
"San Diego",1437
"Monterey / Salinas",723
"Las Vegas",1098
"Santa Barbara / Santa Maria / San Luis Obispo",100
"Sacramento / Stockton / Modesto",1207
"Fresno / Visalia",57
"Chico / Redding",15
"Spokane",242
