"region","total_downloads"
", United States",3743
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",121
"Alabama, United States",223
"Armed Forces Pacific, United States",3
"Arkansas, United States",141
"Arizona, United States",934
"California, United States",13966
"Colorado, United States",1811
"Connecticut, United States",631
"District of Columbia, United States",804
"Delaware, United States",371
"Florida, United States",2557
"Georgia, United States",1441
"Hawaii, United States",210
"Iowa, United States",366
"Idaho, United States",85
"Illinois, United States",2523
"Indiana, United States",478
"Kansas, United States",758
"Kentucky, United States",395
"Louisiana, United States",329
"Massachusetts, United States",1037
"Maryland, United States",1322
"Maine, United States",82
"Michigan, United States",928
"Minnesota, United States",653
"Missouri, United States",715
"Mississippi, United States",108
"Montana, United States",394
"North Carolina, United States",1130
"North Dakota, United States",38
"Nebraska, United States",141
"New Hampshire, United States",171
"New Jersey, United States",2079
"New Mexico, United States",195
"Nevada, United States",648
"New York, United States",3803
"Ohio, United States",1165
"Oklahoma, United States",353
"Oregon, United States",1235
"Pennsylvania, United States",1677
"Rhode Island, United States",98
"South Carolina, United States",274
"South Dakota, United States",174
"Tennessee, United States",447
"Texas, United States",7417
"Utah, United States",571
"Virginia, United States",4601
"Vermont, United States",80
"Washington, United States",2453
"Wisconsin, United States",717
"West Virginia, United States",74
"Wyoming, United States",23
