"item_title","release_date","downloads__april","downloads__march","downloads__february","downloads__total"
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",634,0,0,634
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",797,0,0,797
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",1045,0,0,1045
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",1677,0,0,1677
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",1289,0,0,1289
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",1314,0,0,1314
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",1726,0,0,1726
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",1383,0,0,1383
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",2240,0,0,2240
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",1894,0,0,1894
"TBP120 - The Token Protocol","2017-03-25 20:31:45",770,1994,0,2764
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",300,1751,0,2051
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",252,1439,0,1691
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",228,1360,0,1588
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",204,2096,0,2300
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",148,1149,0,1297
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",172,1440,0,1612
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",209,1599,0,1808
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",160,1000,990,2150
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",142,694,1236,2072
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",113,364,1020,1497
