"region","total_downloads"
", United States",6888
"Armed Forces Europe, Middle East, & Canada, United States",83
"Alaska, United States",179
"Alabama, United States",1112
"Armed Forces Pacific, United States",14
"Arkansas, United States",422
"Arizona, United States",2110
"California, United States",39293
"Colorado, United States",4647
"Connecticut, United States",2053
"District of Columbia, United States",1942
"Delaware, United States",1456
"Florida, United States",7508
"Georgia, United States",4197
"Hawaii, United States",643
"Iowa, United States",850
"Idaho, United States",479
"Illinois, United States",6927
"Indiana, United States",1184
"Kansas, United States",1020
"Kentucky, United States",822
"Louisiana, United States",1115
"Massachusetts, United States",3303
"Maryland, United States",3974
"Maine, United States",332
"Michigan, United States",2581
"Minnesota, United States",2016
"Missouri, United States",1689
"Mississippi, United States",604
"Montana, United States",580
"North Carolina, United States",5547
"North Dakota, United States",90
"Nebraska, United States",598
"New Hampshire, United States",385
"New Jersey, United States",5922
"New Mexico, United States",446
"Nevada, United States",1938
"New York, United States",11836
"Ohio, United States",2832
"Oklahoma, United States",685
"Oregon, United States",3322
"Pennsylvania, United States",5083
"Rhode Island, United States",337
"South Carolina, United States",944
"South Dakota, United States",256
"Tennessee, United States",2126
"Texas, United States",16523
"Utah, United States",1585
"Virginia, United States",13222
"Vermont, United States",195
"Washington, United States",6502
"Wisconsin, United States",1869
"West Virginia, United States",126
"Wyoming, United States",50
