"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",267,0,0,267
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",2593,0,0,2593
"TBP92 - Myceliated","2016-10-09 04:31:18",1331,0,0,1331
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",1160,0,0,1160
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",367,721,0,1088
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",197,805,0,1002
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",115,940,0,1055
"TBP87 - The World is YOURS","2016-09-18 15:16:48",106,1331,0,1437
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",88,1014,0,1102
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",51,966,0,1017
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",32,1163,0,1195
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",119,1454,4,1577
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",51,317,1011,1379
"TBP81 - Redefining Trust","2016-08-21 00:51:47",43,180,1123,1346
"TBP80 - A Means to an End","2016-08-13 21:30:49",36,115,1094,1245
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",62,121,1981,2164
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",32,85,1441,1558
"TBP77 - Collective Governance","2016-08-01 02:13:02",47,117,1519,1683
"TBP76 - Skynet","2016-07-31 13:56:37",42,98,1192,1724
"TBP75 - Attention Economy","2016-07-23 14:57:17",23,69,285,1583
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",19,67,111,1118
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",15,32,90,1399
"TBP72 - The Broader Economy","2016-07-11 13:33:58",41,79,293,3142
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",31,65,71,1555
"TBP70 - Whitehat","2016-07-03 16:51:42",9,47,48,1361
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",10,46,51,1043
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",14,29,74,1892
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",8,30,25,1408
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",12,24,22,1200
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",26,26,25,1192
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",16,22,18,1208
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",13,23,16,1104
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",11,12,18,1092
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",12,21,15,838
"TBP60 - Release the Kraken","2016-05-23 03:32:09",52,53,27,1986
"TBP59 - Incredible India","2016-05-16 15:40:00",13,20,26,947
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",10,38,30,1629
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",11,27,23,1943
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",10,11,20,795
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",11,14,69,1045
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",7,7,12,649
"TBP53 - Tough Math","2016-04-17 16:24:01",13,12,25,1169
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",11,9,18,642
"TBP51 - Such Wow","2016-04-10 17:09:46",9,11,19,634
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",9,8,18,802
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",20,46,12,870
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",6,9,15,668
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",8,6,26,575
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",9,8,28,845
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",10,6,13,672
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",9,9,11,614
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",16,9,16,663
"TBP42 - True Micropayments","2016-02-21 23:13:15",12,14,14,808
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",8,8,15,607
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",23,12,13,1250
"TBP39 - Running the Gamut","2016-02-07 20:14:46",9,7,11,868
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",10,9,11,617
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",9,18,18,617
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",7,8,9,548
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",14,12,16,1048
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",5,7,10,790
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",5,9,12,675
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",5,9,11,737
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",9,7,13,490
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",5,12,12,491
"TBP29 - Take the Power Back","2015-12-06 16:35:49",9,10,13,606
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",6,26,10,591
"TBP27 - London Calling","2015-11-22 16:30:21",8,8,14,576
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",5,8,10,524
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",9,12,12,456
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",13,13,16,650
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",15,7,16,408
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",44,6,16,374
