"region","total_downloads"
", United States",7098
"Armed Forces Europe, Middle East, & Canada, United States",84
"Alaska, United States",193
"Alabama, United States",1194
"Armed Forces Pacific, United States",15
"Arkansas, United States",450
"Arizona, United States",2243
"California, United States",41996
"Colorado, United States",4882
"Connecticut, United States",2186
"District of Columbia, United States",2048
"Delaware, United States",1550
"Florida, United States",8528
"Georgia, United States",4545
"Hawaii, United States",697
"Iowa, United States",904
"Idaho, United States",495
"Illinois, United States",7344
"Indiana, United States",1281
"Kansas, United States",1063
"Kentucky, United States",892
"Louisiana, United States",1302
"Massachusetts, United States",3567
"Maryland, United States",4248
"Maine, United States",344
"Michigan, United States",2711
"Minnesota, United States",2210
"Missouri, United States",1736
"Mississippi, United States",680
"Montana, United States",596
"North Carolina, United States",5871
"North Dakota, United States",98
"Nebraska, United States",648
"New Hampshire, United States",406
"New Jersey, United States",6330
"New Mexico, United States",475
"Nevada, United States",2071
"New York, United States",12868
"Ohio, United States",3028
"Oklahoma, United States",704
"Oregon, United States",3510
"Pennsylvania, United States",5394
"Rhode Island, United States",387
"South Carolina, United States",1003
"South Dakota, United States",256
"Tennessee, United States",2290
"Texas, United States",17783
"Utah, United States",1672
"Virginia, United States",13652
"Vermont, United States",234
"Washington, United States",6840
"Wisconsin, United States",2035
"West Virginia, United States",133
"Wyoming, United States",62
