"state","requests"
"Alaska","18"
"Alabama","32"
"Arkansas","15"
"Arizona","412"
"California","2633"
"Colorado","208"
"Connecticut","121"
"District of Columbia","53"
"Delaware","14"
"Florida","742"
"Georgia","230"
"Hawaii","71"
"Iowa","25"
"Idaho","45"
"Illinois","636"
"Indiana","48"
"Kansas","72"
"Kentucky","51"
"Louisiana","34"
"Massachusetts","369"
"Maryland","218"
"Maine","8"
"Michigan","288"
"Minnesota","113"
"Missouri","120"
"Mississippi","21"
"Montana","19"
"North Carolina","216"
"North Dakota","4"
"Nebraska","40"
"New Hampshire","34"
"New Jersey","398"
"New Mexico","18"
"Armed Forces Europe Middle East & Canada","85"
"Nevada","119"
"New York","1097"
"Ohio","176"
"Oklahoma","45"
"Oregon","210"
"Pennsylvania","256"
"Rhode Island","26"
"South Carolina","31"
"South Dakota","13"
"Tennessee","71"
"Texas","1006"
"Utah","297"
"Virginia","273"
"Vermont","14"
"Washington","542"
"Wisconsin","149"
"West Virginia","4"
"Wyoming","9"
