"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"TBP97 - Hype or Hope","2016-11-06 00:57:36",461,0,0,461
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",194,518,0,712
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",452,603,0,1055
"TBP95 - The JOBS Act","2016-10-27 00:09:26",114,988,0,1102
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",112,1806,0,1918
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",137,2815,0,2952
"TBP92 - Myceliated","2016-10-09 04:31:18",29,1419,0,1448
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",12,1229,0,1241
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",26,420,721,1167
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",22,244,805,1071
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",9,144,940,1093
"TBP87 - The World is YOURS","2016-09-18 15:16:48",7,127,1331,1465
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",7,102,1014,1123
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",9,62,966,1037
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",7,45,1163,1215
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",9,144,1454,1611
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",28,76,317,1432
"TBP81 - Redefining Trust","2016-08-21 00:51:47",7,58,180,1368
"TBP80 - A Means to an End","2016-08-13 21:30:49",5,41,115,1255
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",8,75,121,2185
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",7,41,85,1574
"TBP77 - Collective Governance","2016-08-01 02:13:02",19,58,117,1713
"TBP76 - Skynet","2016-07-31 13:56:37",22,56,98,1760
"TBP75 - Attention Economy","2016-07-23 14:57:17",4,35,69,1599
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",5,26,67,1130
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",6,20,32,1410
"TBP72 - The Broader Economy","2016-07-11 13:33:58",7,51,79,3159
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",5,47,65,1576
"TBP70 - Whitehat","2016-07-03 16:51:42",3,14,47,1369
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",4,13,46,1050
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",7,18,29,1903
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",2,10,30,1412
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",3,16,24,1207
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",3,27,26,1196
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",3,28,22,1223
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",3,18,23,1112
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",3,15,12,1099
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",3,15,21,844
"TBP60 - Release the Kraken","2016-05-23 03:32:09",3,60,53,1997
"TBP59 - Incredible India","2016-05-16 15:40:00",2,19,20,955
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",1,23,38,1643
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",2,16,27,1950
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",3,14,11,802
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",4,19,14,1057
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",3,12,7,657
"TBP53 - Tough Math","2016-04-17 16:24:01",2,16,12,1174
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",2,15,9,648
"TBP51 - Such Wow","2016-04-10 17:09:46",2,13,11,640
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",2,14,8,809
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",6,29,46,885
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",2,12,9,676
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",2,12,6,581
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",2,17,8,855
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",3,24,6,689
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",8,15,9,628
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",3,26,9,676
"TBP42 - True Micropayments","2016-02-21 23:13:15",2,19,14,817
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",2,17,8,618
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",3,26,12,1256
"TBP39 - Running the Gamut","2016-02-07 20:14:46",3,10,7,872
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",2,15,9,624
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",3,11,18,622
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",3,9,8,553
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",2,19,12,1055
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",2,11,7,798
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",2,8,9,680
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",2,53,9,787
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",2,11,7,494
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",2,7,12,495
"TBP29 - Take the Power Back","2015-12-06 16:35:49",3,46,10,646
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",2,12,26,599
"TBP27 - London Calling","2015-11-22 16:30:21",3,10,8,581
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",2,8,8,529
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",2,11,12,460
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",2,27,13,666
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",2,17,7,412
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",2,45,6,377
"TBP21 - Call For Papers","2015-10-10 13:06:37",2,48,8,420
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",2,45,9,434
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",2,38,7,459
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",2,39,8,438
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",2,33,7,531
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",5,42,8,473
"TBP15 - Ants Marching","2015-08-30 19:31:14",4,15,12,417
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",5,40,15,598
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",4,5,8,457
"TBP12 - Boring Economics","2015-08-08 00:53:49",4,47,5,670
"TBP11 - The End of Money","2015-08-03 04:12:02",4,47,14,609
"TBP10 - Bottoms Up","2015-07-24 13:32:59",2,31,10,489
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",6,33,9,559
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",5,37,14,633
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",98,549,505,1930
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",97,512,499,1826
"TBP05 - The World's Strongest","2015-06-28 22:55:15",100,524,504,1921
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",108,563,509,2063
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",97,524,511,1997
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",97,569,536,2210
"Episode #1 - Introduction","2015-06-01 00:34:44",100,580,593,2685
