"item_title","release_date","downloads__november","downloads__october","downloads__september","downloads__total"
"Devcon3: Recap Part 2","2017-11-05 14:54:24",4753,0,0,4753
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",3278,0,0,3278
"Devcon3: Recap Part 1","2017-11-03 01:13:35",4077,0,0,4077
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",2283,1762,0,4045
"TBP163 - Savings and Savior","2017-10-29 03:38:25",817,2805,0,3622
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",956,3238,0,4194
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",449,2749,0,3198
"TBP162 - Sweet Talk","2017-10-26 14:29:23",599,3297,0,3896
"BTCPODcast.mp3","2017-10-25 14:03:59",42,103,0,145
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",350,4024,0,4374
"TBP Announcements: STACK","2017-10-22 01:12:19",268,3093,0,3361
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",364,3402,0,3766
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",225,3324,0,3549
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",208,3548,0,3756
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",227,3627,0,3854
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",193,3395,0,3588
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",207,4629,0,4836
"TBP Announcements: DOVU","2017-10-06 21:48:28",173,3332,0,3505
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",158,3462,0,3620
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",160,2927,0,3087
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",199,4337,0,4536
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",143,3333,0,3476
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",175,3797,0,3972
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",160,3831,0,3991
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",149,1175,2837,4161
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",117,781,2435,3333
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",142,864,2840,3846
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",121,578,2911,3610
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",129,571,3217,3917
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",116,542,3297,3955
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",138,510,3909,4557
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",97,384,2733,3214
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",112,391,4695,5198
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",108,346,3733,4187
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",86,315,4256,4657
"TBP152 - Pally on the Block","2017-09-10 14:02:18",84,289,4837,5210
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",132,477,5008,5617
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",81,286,4110,4477
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",94,304,4395,4793
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",88,262,4438,4788
"TBP150 - EGO with ETH","2017-09-04 02:16:51",74,235,4579,4888
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",65,208,4311,4584
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",51,204,3282,3537
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",68,168,765,4189
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",62,214,1085,4728
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",66,202,838,5021
"NABP #9: JP Richardson","2017-08-22 15:49:09",64,152,481,4720
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",114,182,679,5512
"TBP148 - Controversial Persona","2017-08-20 17:08:54",62,166,506,5462
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",60,132,352,4351
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",64,110,345,4279
"TBP147 - History of Security","2017-08-16 21:33:46",77,155,407,4573
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",66,130,312,4024
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",65,149,383,7879
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",65,141,344,6399
"NABP #8: Vortex","2017-08-07 21:45:42",52,119,244,4210
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",55,117,225,3944
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",47,141,321,4359
