"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",574,0,0,574
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",1156,0,0,1156
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",877,0,0,877
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",599,550,0,1149
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",138,849,0,987
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",198,1631,0,1829
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",79,1591,0,1670
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",69,867,0,936
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",39,876,0,915
"TBP97 - Hype or Hope","2016-11-06 00:57:36",108,1474,0,1582
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",19,388,518,925
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",11,655,603,1269
"TBP95 - The JOBS Act","2016-10-27 00:09:26",16,227,988,1231
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",20,202,1806,2028
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",25,434,2815,3274
"TBP92 - Myceliated","2016-10-09 04:31:18",7,84,1419,1510
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",12,47,1229,1288
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",97,272,420,1510
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",7,58,244,1114
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",16,33,144,1133
"TBP87 - The World is YOURS","2016-09-18 15:16:48",9,45,127,1512
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",9,44,102,1169
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",3,48,62,1079
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",5,29,45,1242
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",13,43,144,1658
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",14,51,76,1469
"TBP81 - Redefining Trust","2016-08-21 00:51:47",13,34,58,1408
"TBP80 - A Means to an End","2016-08-13 21:30:49",2,16,41,1268
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",10,67,75,2254
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",5,21,41,1593
"TBP77 - Collective Governance","2016-08-01 02:13:02",75,229,58,1998
"TBP76 - Skynet","2016-07-31 13:56:37",87,246,56,2071
"TBP75 - Attention Economy","2016-07-23 14:57:17",18,25,35,1638
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",6,17,26,1148
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",6,17,20,1427
"TBP72 - The Broader Economy","2016-07-11 13:33:58",11,24,51,3187
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",3,41,47,1615
"TBP70 - Whitehat","2016-07-03 16:51:42",5,10,14,1381
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",12,33,13,1091
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",15,19,18,1930
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",5,9,10,1424
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",3,11,16,1218
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",7,13,27,1213
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",1,15,28,1236
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",3,13,18,1125
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",1,10,15,1107
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",2,10,15,853
"TBP60 - Release the Kraken","2016-05-23 03:32:09",3,23,60,2020
"TBP59 - Incredible India","2016-05-16 15:40:00",1,18,19,972
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",9,20,23,1671
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",3,9,16,1960
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",13,18,14,830
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",6,13,19,1072
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",3,10,12,667
"TBP53 - Tough Math","2016-04-17 16:24:01",3,12,16,1187
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",3,10,15,659
"TBP51 - Such Wow","2016-04-10 17:09:46",3,10,13,651
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",5,10,14,822
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",3,15,29,897
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",7,10,12,691
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",5,9,12,593
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",7,8,17,868
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",4,16,24,706
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",4,16,15,640
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",4,14,26,691
"TBP42 - True Micropayments","2016-02-21 23:13:15",5,11,19,831
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",6,13,17,635
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",7,11,26,1271
"TBP39 - Running the Gamut","2016-02-07 20:14:46",8,14,10,891
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",7,9,15,638
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",4,16,11,639
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",3,11,9,564
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",3,12,19,1068
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",3,8,11,807
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",4,10,8,692
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",3,9,53,797
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",4,9,11,505
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",4,9,7,506
"TBP29 - Take the Power Back","2015-12-06 16:35:49",3,19,46,665
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",5,13,12,615
"TBP27 - London Calling","2015-11-22 16:30:21",3,13,10,594
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",2,8,8,537
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",2,12,11,472
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",4,17,27,685
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",5,10,17,425
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",4,8,45,387
"TBP21 - Call For Papers","2015-10-10 13:06:37",3,9,48,430
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",4,15,45,451
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",4,10,38,471
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",2,10,39,448
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",2,9,33,540
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",2,27,42,497
"TBP15 - Ants Marching","2015-08-30 19:31:14",3,12,15,428
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",12,12,40,617
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",7,12,5,472
"TBP12 - Boring Economics","2015-08-08 00:53:49",6,19,47,691
"TBP11 - The End of Money","2015-08-03 04:12:02",8,26,47,639
"TBP10 - Bottoms Up","2015-07-24 13:32:59",6,12,31,505
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",6,16,33,575
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",12,12,37,652
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",169,485,549,2486
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",45,481,512,2255
"TBP05 - The World's Strongest","2015-06-28 22:55:15",8,490,524,2319
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",2,486,563,2443
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",2,443,524,2345
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",2,310,569,2425
"Episode #1 - Introduction","2015-06-01 00:34:44",2,207,580,2794
