"region","total_downloads"
", United States",2339
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",99
"Alabama, United States",117
"Armed Forces Pacific, United States",1
"Arkansas, United States",65
"Arizona, United States",561
"California, United States",7316
"Colorado, United States",914
"Connecticut, United States",330
"District of Columbia, United States",506
"Delaware, United States",135
"Florida, United States",1619
"Georgia, United States",833
"Hawaii, United States",98
"Iowa, United States",245
"Idaho, United States",57
"Illinois, United States",1356
"Indiana, United States",213
"Kansas, United States",158
"Kentucky, United States",235
"Louisiana, United States",231
"Massachusetts, United States",547
"Maryland, United States",699
"Maine, United States",38
"Michigan, United States",458
"Minnesota, United States",354
"Missouri, United States",375
"Mississippi, United States",32
"Montana, United States",211
"North Carolina, United States",553
"North Dakota, United States",34
"Nebraska, United States",80
"New Hampshire, United States",117
"New Jersey, United States",1038
"New Mexico, United States",116
"Nevada, United States",408
"New York, United States",1917
"Ohio, United States",838
"Oklahoma, United States",197
"Oregon, United States",553
"Pennsylvania, United States",868
"Rhode Island, United States",50
"South Carolina, United States",134
"South Dakota, United States",26
"Tennessee, United States",199
"Texas, United States",4925
"Utah, United States",217
"Virginia, United States",1038
"Vermont, United States",39
"Washington, United States",1130
"Wisconsin, United States",478
"West Virginia, United States",55
"Wyoming, United States",12
