"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",602,0,0,602
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",163,721,0,884
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",59,805,0,864
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",30,940,0,970
"TBP87 - The World is YOURS","2016-09-18 15:16:48",13,1331,0,1344
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",14,1014,0,1028
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",9,966,0,975
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",5,1163,0,1168
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",37,1454,4,1495
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",13,317,1011,1341
"TBP81 - Redefining Trust","2016-08-21 00:51:47",5,180,1123,1308
"TBP80 - A Means to an End","2016-08-13 21:30:49",4,115,1094,1213
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",6,121,1981,2108
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",2,85,1441,1528
"TBP77 - Collective Governance","2016-08-01 02:13:02",28,117,1519,1664
"TBP76 - Skynet","2016-07-31 13:56:37",27,98,1192,1709
"TBP75 - Attention Economy","2016-07-23 14:57:17",4,69,285,1564
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",1,67,111,1100
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",1,32,90,1385
"TBP72 - The Broader Economy","2016-07-11 13:33:58",4,79,293,3105
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",1,65,71,1525
"TBP70 - Whitehat","2016-07-03 16:51:42",1,47,48,1353
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",2,46,51,1035
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",1,29,74,1879
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",2,30,25,1402
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",2,24,22,1190
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",4,26,25,1170
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",3,22,18,1195
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",1,23,16,1092
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",1,12,18,1082
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",2,21,15,828
"TBP60 - Release the Kraken","2016-05-23 03:32:09",1,53,27,1935
"TBP59 - Incredible India","2016-05-16 15:40:00",2,20,26,936
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",1,38,30,1620
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",1,27,23,1933
