"region","total_downloads"
", United States",2441
"Armed Forces Europe, Middle East, & Canada, United States",3
"Alaska, United States",99
"Alabama, United States",123
"Armed Forces Pacific, United States",1
"Arkansas, United States",66
"Arizona, United States",577
"California, United States",7691
"Colorado, United States",956
"Connecticut, United States",339
"District of Columbia, United States",554
"Delaware, United States",137
"Florida, United States",1683
"Georgia, United States",858
"Hawaii, United States",106
"Iowa, United States",252
"Idaho, United States",60
"Illinois, United States",1421
"Indiana, United States",223
"Kansas, United States",199
"Kentucky, United States",240
"Louisiana, United States",238
"Massachusetts, United States",575
"Maryland, United States",766
"Maine, United States",42
"Michigan, United States",491
"Minnesota, United States",363
"Missouri, United States",380
"Mississippi, United States",32
"Montana, United States",224
"North Carolina, United States",577
"North Dakota, United States",34
"Nebraska, United States",82
"New Hampshire, United States",121
"New Jersey, United States",1068
"New Mexico, United States",123
"Nevada, United States",418
"New York, United States",2048
"Ohio, United States",849
"Oklahoma, United States",209
"Oregon, United States",572
"Pennsylvania, United States",889
"Rhode Island, United States",51
"South Carolina, United States",139
"South Dakota, United States",140
"Tennessee, United States",206
"Texas, United States",5057
"Utah, United States",229
"Virginia, United States",1104
"Vermont, United States",41
"Washington, United States",1264
"Wisconsin, United States",493
"West Virginia, United States",56
"Wyoming, United States",18
