"item_title","release_date","downloads__may","downloads__april","downloads__march","downloads__total"
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",763,0,0,763
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",443,0,0,443
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",82,636,0,718
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",19,498,0,517
"TBP53 - Tough Math","2016-04-17 16:24:01",29,924,0,953
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",7,486,0,493
"TBP51 - Such Wow","2016-04-10 17:09:46",4,468,0,472
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",5,643,0,648
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",3,413,253,669
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",5,77,460,542
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",3,34,399,436
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",4,40,637,681
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",0,53,477,530
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",2,25,446,473
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",3,41,264,543
"TBP42 - True Micropayments","2016-02-21 23:13:15",0,17,98,679
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",4,18,42,482
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",1,16,100,1094
"TBP39 - Running the Gamut","2016-02-07 20:14:46",0,7,112,764
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",0,10,25,531
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",0,12,24,504
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",0,6,24,478
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",1,18,66,947
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",1,12,20,713
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",2,7,13,584
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",1,7,18,648
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",1,21,23,415
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",3,3,10,430
"TBP29 - Take the Power Back","2015-12-06 16:35:49",0,34,18,521
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",0,5,25,486
"TBP27 - London Calling","2015-11-22 16:30:21",1,3,18,507
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,2,17,453
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",2,6,5,394
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",0,11,15,551
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,5,3,327
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",0,3,4,259
"TBP21 - Call For Papers","2015-10-10 13:06:37",0,3,4,305
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",1,11,10,302
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,2,4,348
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,3,2,336
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,2,6,441
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",0,6,10,361
"TBP15 - Ants Marching","2015-08-30 19:31:14",0,5,3,327
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",0,6,5,472
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",0,4,2,384
"TBP12 - Boring Economics","2015-08-08 00:53:49",0,7,3,537
"TBP11 - The End of Money","2015-08-03 04:12:02",2,6,7,477
"TBP10 - Bottoms Up","2015-07-24 13:32:59",0,6,5,393
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",0,7,7,437
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",0,6,70,510
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",0,5,6,417
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",0,5,16,379
"TBP05 - The World's Strongest","2015-06-28 22:55:15",0,14,5,434
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",1,32,5,513
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",2,19,4,485
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",1,20,15,533
"Episode #1 - Introduction","2015-06-01 00:34:44",5,55,37,800
