"region","total_downloads"
", United States",5176
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",483
"Armed Forces Pacific, United States",3
"Arkansas, United States",210
"Arizona, United States",1278
"California, United States",22285
"Colorado, United States",2964
"Connecticut, United States",1058
"District of Columbia, United States",1176
"Delaware, United States",1156
"Florida, United States",4183
"Georgia, United States",2358
"Hawaii, United States",378
"Iowa, United States",553
"Idaho, United States",226
"Illinois, United States",4209
"Indiana, United States",804
"Kansas, United States",822
"Kentucky, United States",542
"Louisiana, United States",465
"Massachusetts, United States",1797
"Maryland, United States",2110
"Maine, United States",169
"Michigan, United States",1458
"Minnesota, United States",1098
"Missouri, United States",1103
"Mississippi, United States",225
"Montana, United States",465
"North Carolina, United States",2693
"North Dakota, United States",48
"Nebraska, United States",254
"New Hampshire, United States",245
"New Jersey, United States",3382
"New Mexico, United States",261
"Nevada, United States",1096
"New York, United States",6052
"Ohio, United States",1727
"Oklahoma, United States",533
"Oregon, United States",2029
"Pennsylvania, United States",2971
"Rhode Island, United States",212
"South Carolina, United States",590
"South Dakota, United States",226
"Tennessee, United States",931
"Texas, United States",10076
"Utah, United States",933
"Virginia, United States",10495
"Vermont, United States",97
"Washington, United States",4292
"Wisconsin, United States",1210
"West Virginia, United States",88
"Wyoming, United States",37
