"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"Monero Monitor: Mimblewimble with Andrew Poelstra","2017-12-11 14:35:52",4131,0,0,4131
"An Ethereum Podcast: Episode #8","2017-12-10 14:23:50",3735,0,0,3735
"TBP171 - The Future of Giving","2017-12-09 19:40:43",3484,0,0,3484
"TBP Announcements: LoyalCoin","2017-12-09 18:06:06",2996,0,0,2996
"Buy or Sell, What the Hell #5","2017-12-09 16:21:38",4335,0,0,4335
"TBP Announcements: CoinFi","2017-12-08 15:50:50",3783,0,0,3783
"An Ethereum Podcast: Episode #7","2017-12-05 16:37:02",6061,0,0,6061
"TBP170 - A New Kind of Legal","2017-12-03 14:58:36",5668,0,0,5668
"An Ethereum Podcast: Episode #6","2017-11-30 14:08:10",3877,2036,0,5913
"TBP Announcements: Crowd Machine","2017-11-30 13:23:53",1812,1609,0,3421
"TBP169 - Monetary Revolution","2017-11-27 02:56:13",1718,3724,0,5442
"TBP Announcements: Coinfirm","2017-11-27 02:51:51",676,3601,0,4277
"TBP168 - Passion, Pain & Unicorn Slayin'","2017-11-26 05:35:45",830,4798,0,5628
"BlockChannel Episode 34: Developers Developers Developers, with Zastrin.com","2017-11-23 19:10:49",501,3884,0,4385
"TBP Announcements: Simple Token","2017-11-19 22:12:40",355,3912,0,4267
"TBP167 - The Broader Economy III","2017-11-19 13:52:29",633,5977,0,6610
"TBP Announcements: Quantstamp","2017-11-16 16:00:09",318,3792,0,4110
"TBP Announcements: Globitex","2017-11-15 03:54:35",303,3854,0,4157
"TBP166 - ATMs and ICOs","2017-11-12 23:08:43",378,5468,0,5846
"Devcon3: Recap Part 2","2017-11-05 14:54:24",212,5612,0,5824
"TBP165 - Praise for Cryptoassets","2017-11-05 11:46:28",281,4140,0,4421
"Devcon3: Recap Part 1","2017-11-03 01:13:35",236,4791,0,5027
"TBP164 - The Benefits of Familiarity","2017-10-30 19:55:02",200,2775,1762,4737
"TBP163 - Savings and Savior","2017-10-29 03:38:25",179,1224,2805,4208
"Buy or Sell, What the Hell #4","2017-10-27 20:26:45",253,1510,3238,5001
"BlockChannel Episode 33: Incentivizing Creators Online, with Props","2017-10-27 02:12:10",170,800,2749,3719
"TBP162 - Sweet Talk","2017-10-26 14:29:23",175,1016,3297,4488
"BTCPODcast.mp3","2017-10-25 14:03:59",1,45,103,149
"TBP161 - A Foundation for the Data Economy","2017-10-22 05:30:59",146,683,4024,4853
"TBP Announcements: STACK","2017-10-22 01:12:19",130,570,3093,3793
"An Ethereum Podcast: Episode #5","2017-10-20 16:25:55",152,738,3402,4292
"TBP Announcements: Simply Vital Health","2017-10-17 00:24:23",108,486,3324,3918
"BlockChannel Episode 32: Greasing the Blockchain, with Spankchain","2017-10-16 19:47:54",105,465,3548,4118
"TBP160 - Bitcoin Beats","2017-10-15 18:38:50",120,488,3627,4235
"BlockChannel Episode 31: Settling the Score, with CoinScore","2017-10-14 00:35:30",110,458,3395,3963
"TBP159 - Diary of a Made Man","2017-10-08 20:11:57",110,481,4629,5220
"TBP Announcements: DOVU","2017-10-06 21:48:28",92,361,3332,3785
"TBP158 - The Credit Protocol","2017-10-05 02:54:09",101,347,3462,3910
"The Ether Review #73 — Kik, Establishing a Micro-economy","2017-10-05 00:22:37",99,336,2927,3362
"An Ethereum Podcast: Episode #4","2017-10-04 04:03:08",129,434,4337,4900
"Episode #17: On-Ramping with Dee","2017-10-03 11:46:40",82,306,3333,3721
"Buy or Sell, What the Hell #3","2017-10-02 02:38:55",103,349,3797,4249
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",96,347,3831,4274
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",91,317,1175,4420
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",81,268,781,3565
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",108,331,864,4143
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",80,260,578,3829
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",79,279,571,4146
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",91,288,542,4218
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",123,298,510,4840
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",71,230,384,3418
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",84,251,391,5421
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",86,247,346,4412
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",69,223,315,4863
"TBP152 - Pally on the Block","2017-09-10 14:02:18",76,217,289,5419
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",181,353,477,6019
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",82,223,286,4701
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",104,241,304,5044
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",73,227,262,5000
"TBP150 - EGO with ETH","2017-09-04 02:16:51",72,216,235,5102
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",69,189,208,4777
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",73,201,204,3760
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",76,201,168,4398
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",77,200,214,4943
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",67,188,202,5210
"NABP #9: JP Richardson","2017-08-22 15:49:09",73,184,152,4913
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",97,268,182,5763
"TBP148 - Controversial Persona","2017-08-20 17:08:54",70,183,166,5653
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",70,178,132,4539
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",62,161,110,4438
"TBP147 - History of Security","2017-08-16 21:33:46",85,199,155,4780
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",70,177,130,4205
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",69,183,149,8066
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",69,187,141,6590
"NABP #8: Vortex","2017-08-07 21:45:42",61,150,119,4369
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",61,153,117,4103
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",71,153,141,4536
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",64,158,113,3832
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",70,150,114,5433
"NABP #7: Marcello","2017-08-01 02:15:49",80,157,106,4884
"TBP142 - The Need For More Information","2017-07-29 19:29:38",65,145,110,4730
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",86,134,106,4369
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",61,120,95,3888
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",79,160,93,3823
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",84,140,113,4978
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",342,224,158,5969
"NABP #6: John Crothers","2017-07-19 03:43:01",73,127,93,3422
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",72,127,91,3474
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",64,128,81,5970
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",77,124,100,4140
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",63,113,82,4332
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",77,117,83,3574
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",74,117,98,4706
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",59,112,91,7551
"NABP #3: Adam Meister","2017-07-06 12:49:09",77,121,91,4344
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",66,103,77,3426
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",77,113,68,4947
"NABP #2: Crypto Maak","2017-07-01 02:49:34",74,108,95,3967
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",73,105,71,4522
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",94,110,78,5685
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",59,107,74,3502
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",79,109,67,3785
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",84,107,65,3153
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",75,100,65,4641
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",68,96,71,4789
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",80,136,78,5102
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",68,134,72,3945
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",61,134,78,4704
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",47,144,78,5984
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",22,88,56,3290
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",18,101,52,2318
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",19,91,57,3092
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",20,90,62,2601
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",17,80,56,2504
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",25,90,57,3549
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",23,90,63,3723
"TBP128 - Family","2017-05-14 02:41:39",23,83,51,3542
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",20,58,58,4079
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",19,47,69,2687
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",34,118,80,7805
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",14,26,44,3444
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",15,29,49,2690
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",10,23,48,1792
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",14,15,63,2181
