"user_agent","total_downloads"
"Chrome",58
"facebookexternalhit",2
"RSSRadio",2
"okhttp",65
"Overcast",75
"AppleCoreMedia",168
"Downcast",13
"iTunes",16
"Mozilla",28
"Pocket Casts",45
"PodcastAddict",20
"AndroidDownloadManager",1
"StitcherBot",16
"Player FM",12
"Safari",11
"Firefox",8
"CastBox",1
"Podkicker Pro",1
"Dalvik",1
"Podbean",4
"Lavf",1
"excon",1
"AntennaPod",1
"MSIE",1
