"region","total_downloads"
", United States",3252
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",180
"Armed Forces Pacific, United States",2
"Arkansas, United States",88
"Arizona, United States",728
"California, United States",11102
"Colorado, United States",1379
"Connecticut, United States",467
"District of Columbia, United States",665
"Delaware, United States",255
"Florida, United States",2103
"Georgia, United States",1063
"Hawaii, United States",184
"Iowa, United States",287
"Idaho, United States",75
"Illinois, United States",1989
"Indiana, United States",381
"Kansas, United States",711
"Kentucky, United States",327
"Louisiana, United States",289
"Massachusetts, United States",819
"Maryland, United States",1090
"Maine, United States",53
"Michigan, United States",736
"Minnesota, United States",535
"Missouri, United States",622
"Mississippi, United States",67
"Montana, United States",344
"North Carolina, United States",841
"North Dakota, United States",38
"Nebraska, United States",122
"New Hampshire, United States",160
"New Jersey, United States",1502
"New Mexico, United States",181
"Nevada, United States",536
"New York, United States",2854
"Ohio, United States",1012
"Oklahoma, United States",281
"Oregon, United States",912
"Pennsylvania, United States",1308
"Rhode Island, United States",86
"South Carolina, United States",204
"South Dakota, United States",168
"Tennessee, United States",326
"Texas, United States",6119
"Utah, United States",343
"Virginia, United States",1663
"Vermont, United States",67
"Washington, United States",1964
"Wisconsin, United States",610
"West Virginia, United States",71
"Wyoming, United States",23
