"region","total_downloads"
", United States",4342
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",294
"Armed Forces Pacific, United States",3
"Arkansas, United States",179
"Arizona, United States",1087
"California, United States",17075
"Colorado, United States",2404
"Connecticut, United States",796
"District of Columbia, United States",1004
"Delaware, United States",1089
"Florida, United States",3315
"Georgia, United States",1915
"Hawaii, United States",260
"Iowa, United States",443
"Idaho, United States",140
"Illinois, United States",3262
"Indiana, United States",627
"Kansas, United States",769
"Kentucky, United States",434
"Louisiana, United States",385
"Massachusetts, United States",1399
"Maryland, United States",1676
"Maine, United States",82
"Michigan, United States",1107
"Minnesota, United States",770
"Missouri, United States",845
"Mississippi, United States",158
"Montana, United States",429
"North Carolina, United States",1400
"North Dakota, United States",38
"Nebraska, United States",181
"New Hampshire, United States",239
"New Jersey, United States",2555
"New Mexico, United States",219
"Nevada, United States",750
"New York, United States",4678
"Ohio, United States",1292
"Oklahoma, United States",439
"Oregon, United States",1536
"Pennsylvania, United States",2174
"Rhode Island, United States",123
"South Carolina, United States",432
"South Dakota, United States",204
"Tennessee, United States",642
"Texas, United States",8516
"Utah, United States",698
"Virginia, United States",6096
"Vermont, United States",89
"Washington, United States",3224
"Wisconsin, United States",991
"West Virginia, United States",74
"Wyoming, United States",30
