"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",1,0,0,1
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",245,0,0,245
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",2104,0,0,2104
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",3357,0,0,3357
"NABP #7: Marcello","2017-08-01 02:15:49",3760,0,0,3760
"TBP142 - The Need For More Information","2017-07-29 19:29:38",1122,2640,0,3762
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",434,3023,0,3457
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",562,2496,0,3058
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",223,2734,0,2957
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",174,3946,0,4120
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",195,4308,0,4503
"NABP #6: John Crothers","2017-07-19 03:43:01",113,2538,0,2651
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",90,2742,0,2832
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",107,5261,0,5368
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",194,3266,0,3460
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",148,3618,0,3766
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",86,2902,0,2988
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",166,3911,0,4077
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",169,6835,0,7004
"NABP #3: Adam Meister","2017-07-06 12:49:09",71,3719,0,3790
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",64,2913,0,2977
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",78,4370,0,4448
"NABP #2: Crypto Maak","2017-07-01 02:49:34",64,3271,0,3335
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",54,1137,2846,4037
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",44,732,4374,5150
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",19,390,2664,3073
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",26,459,2849,3334
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",25,460,2217,2702
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",29,421,3747,4197
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",13,529,3843,4385
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",27,433,4124,4584
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",29,242,3226,3497
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",24,260,3907,4191
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",22,233,5302,5557
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",13,141,1272,2990
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",32,130,605,2018
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",14,178,790,2785
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",16,194,540,2291
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",15,125,486,2200
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",13,130,378,3226
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",14,174,549,3396
