"item_title","release_date","downloads__october","downloads__september","downloads__august","downloads__total"
"TBP157 - Modern Day Gold Rush Pt. II","2017-10-01 15:19:21",1750,0,0,1750
"TBP156 - Combined Forces for Better Results","2017-09-28 02:57:13",291,2837,0,3128
"BlockChannel Episode 30: To Bee or Not to Bee","2017-09-27 19:30:17",128,2435,0,2563
"An Ethereum Podcast: Episode #3","2017-09-27 02:52:33",139,2840,0,2979
"Episode #16: On-Ramping with Dee","2017-09-25 11:56:04",83,2911,0,2994
"TBP155 - Crypto Swan Song","2017-09-24 15:53:13",52,3217,0,3269
"TBP154 - Bitcoin For The Bottom Billion Pt. 2","2017-09-22 11:23:52",45,3297,0,3342
"An Ethereum Podcast: Episode #2","2017-09-19 14:56:24",40,3909,0,3949
"Episode #15: On-Ramping with Dee","2017-09-18 15:42:45",28,2733,0,2761
"TBP153 - Bitcoin Sell Out","2017-09-17 14:42:43",31,4695,0,4726
"Ether Review Legal #6 — Playing in a Sandbox","2017-09-15 13:54:22",19,3733,0,3752
"Episode #14: On-Ramping with Dee","2017-09-12 02:36:23",19,4256,0,4275
"TBP152 - Pally on the Block","2017-09-10 14:02:18",16,4837,0,4853
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",27,5008,0,5035
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",19,4110,0,4129
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",19,4395,0,4414
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",18,4438,0,4456
"TBP150 - EGO with ETH","2017-09-04 02:16:51",16,4579,0,4595
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",14,4311,0,4325
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",15,3282,0,3297
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",10,765,3188,3963
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",16,1085,3367,4468
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",9,838,3915,4762
"NABP #9: JP Richardson","2017-08-22 15:49:09",9,481,4023,4513
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",14,679,4537,5230
"TBP148 - Controversial Persona","2017-08-20 17:08:54",9,506,4728,5243
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",6,352,3807,4165
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",5,345,3760,4110
"TBP147 - History of Security","2017-08-16 21:33:46",6,407,3934,4347
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",7,312,3516,3835
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",8,383,7282,7673
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",9,344,5849,6202
"NABP #8: Vortex","2017-08-07 21:45:42",5,244,3795,4044
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",7,225,3547,3779
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",7,321,3850,4178
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",5,195,3302,3502
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",5,223,4876,5104
"NABP #7: Marcello","2017-08-01 02:15:49",5,177,4364,4546
"TBP142 - The Need For More Information","2017-07-29 19:29:38",4,160,1610,4414
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",4,147,873,4047
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",3,136,980,3615
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",2,160,597,3493
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",2,155,540,4643
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",2,226,711,5247
"NABP #6: John Crothers","2017-07-19 03:43:01",4,160,431,3133
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",2,115,327,3186
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",2,105,331,5699
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",3,122,451,3842
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",2,95,361,4076
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",2,102,293,3299
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",3,104,402,4420
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",2,99,355,7291
"NABP #3: Adam Meister","2017-07-06 12:49:09",1,102,234,4056
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",1,86,181,3181
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",2,85,234,4691
"NABP #2: Crypto Maak","2017-07-01 02:49:34",3,135,284,3693
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",2,102,188,4275
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",1,106,191,5404
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",1,73,135,3263
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",1,90,132,3531
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",1,94,126,2898
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",1,93,140,4402
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",2,79,103,4556
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",7,105,146,4815
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",3,69,134,3674
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",4,107,157,4435
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",4,70,110,5719
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",4,61,86,3128
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",1,61,100,2148
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",1,66,88,2926
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",1,66,88,2430
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",3,69,97,2354
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",2,75,89,3379
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",2,72,93,3549
"TBP128 - Family","2017-05-14 02:41:39",2,75,67,3387
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",4,67,75,3947
