"region","total_downloads"
", United States",5267
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",555
"Armed Forces Pacific, United States",3
"Arkansas, United States",223
"Arizona, United States",1292
"California, United States",22981
"Colorado, United States",3050
"Connecticut, United States",1117
"District of Columbia, United States",1232
"Delaware, United States",1168
"Florida, United States",4245
"Georgia, United States",2496
"Hawaii, United States",393
"Iowa, United States",569
"Idaho, United States",235
"Illinois, United States",4339
"Indiana, United States",826
"Kansas, United States",829
"Kentucky, United States",550
"Louisiana, United States",493
"Massachusetts, United States",1846
"Maryland, United States",2205
"Maine, United States",173
"Michigan, United States",1534
"Minnesota, United States",1123
"Missouri, United States",1121
"Mississippi, United States",225
"Montana, United States",468
"North Carolina, United States",2940
"North Dakota, United States",50
"Nebraska, United States",269
"New Hampshire, United States",245
"New Jersey, United States",3501
"New Mexico, United States",266
"Nevada, United States",1120
"New York, United States",6267
"Ohio, United States",1743
"Oklahoma, United States",539
"Oregon, United States",2123
"Pennsylvania, United States",3030
"Rhode Island, United States",214
"South Carolina, United States",609
"South Dakota, United States",229
"Tennessee, United States",984
"Texas, United States",10465
"Utah, United States",944
"Virginia, United States",10589
"Vermont, United States",97
"Washington, United States",4396
"Wisconsin, United States",1232
"West Virginia, United States",88
"Wyoming, United States",37
