"region","total_downloads"
", United States",9074
"Armed Forces Europe, Middle East, & Canada, United States",137
"Alaska, United States",554
"Alabama, United States",2076
"Armed Forces Pacific, United States",33
"Arkansas, United States",834
"Arizona, United States",4367
"California, United States",74005
"Colorado, United States",7793
"Connecticut, United States",3750
"District of Columbia, United States",3179
"Delaware, United States",1884
"Florida, United States",15242
"Georgia, United States",8033
"Hawaii, United States",1382
"Iowa, United States",1721
"Idaho, United States",979
"Illinois, United States",13028
"Indiana, United States",2327
"Kansas, United States",1741
"Kentucky, United States",1374
"Louisiana, United States",2244
"Massachusetts, United States",7560
"Maryland, United States",7965
"Maine, United States",453
"Michigan, United States",4871
"Minnesota, United States",4186
"Missouri, United States",3130
"Mississippi, United States",1053
"Montana, United States",694
"North Carolina, United States",10572
"North Dakota, United States",351
"Nebraska, United States",1145
"New Hampshire, United States",892
"New Jersey, United States",10866
"New Mexico, United States",797
"Nevada, United States",3969
"New York, United States",25954
"Ohio, United States",6141
"Oklahoma, United States",1296
"Oregon, United States",5857
"Pennsylvania, United States",9242
"Rhode Island, United States",993
"South Carolina, United States",1731
"South Dakota, United States",303
"Tennessee, United States",3878
"Texas, United States",30244
"Utah, United States",3539
"Virginia, United States",18345
"Vermont, United States",554
"Washington, United States",12012
"Wisconsin, United States",3520
"West Virginia, United States",249
"Wyoming, United States",110
