"region","total_downloads"
", United States",4203
"Armed Forces Europe, Middle East, & Canada, United States",9
"Alaska, United States",121
"Alabama, United States",280
"Armed Forces Pacific, United States",3
"Arkansas, United States",179
"Arizona, United States",1038
"California, United States",16038
"Colorado, United States",2256
"Connecticut, United States",772
"District of Columbia, United States",966
"Delaware, United States",1085
"Florida, United States",3168
"Georgia, United States",1809
"Hawaii, United States",248
"Iowa, United States",419
"Idaho, United States",140
"Illinois, United States",3051
"Indiana, United States",595
"Kansas, United States",765
"Kentucky, United States",422
"Louisiana, United States",369
"Massachusetts, United States",1264
"Maryland, United States",1615
"Maine, United States",82
"Michigan, United States",1054
"Minnesota, United States",724
"Missouri, United States",816
"Mississippi, United States",152
"Montana, United States",419
"North Carolina, United States",1300
"North Dakota, United States",38
"Nebraska, United States",156
"New Hampshire, United States",237
"New Jersey, United States",2442
"New Mexico, United States",216
"Nevada, United States",723
"New York, United States",4489
"Ohio, United States",1250
"Oklahoma, United States",425
"Oregon, United States",1469
"Pennsylvania, United States",1978
"Rhode Island, United States",113
"South Carolina, United States",411
"South Dakota, United States",199
"Tennessee, United States",589
"Texas, United States",8229
"Utah, United States",668
"Virginia, United States",5694
"Vermont, United States",86
"Washington, United States",2921
"Wisconsin, United States",883
"West Virginia, United States",74
"Wyoming, United States",26
