"market","total_downloads"
"Portland / Auburn",20
"New York",4879
"Binghamton",62
"Macon",22
"Philadelphia",1553
"Detroit",614
"Boston MA / Manchester",1127
"Savannah",54
"Pittsburgh",350
"Ft. Wayne",24
"Cleveland / Akron (Canton)",256
"Washington DC (Hagerstown)",5767
"Baltimore",572
"Flint / Saginaw / Bay City",36
"Buffalo",119
"Cincinnati",164
"Charlotte",399
"Greensboro / High Point / Winston Salem",221
"Charleston",15
"Augusta",3
"Providence RI / New Bedford",101
"Columbus",21
"Burlington VT / Plattsburgh",106
"Atlanta",1276
"Albany",7
"Utica",15
"Indianapolis",241
"Miami / Ft. Lauderdale",846
"Louisville",231
"Tallahassee FL / Thomasville",12
"Tri-Cities TN",13
"Albany / Schenectady / Troy",183
"Hartford & New Haven",477
"Orlando / Daytona Beach / Melbourne",397
"Columbus",101
"Youngstown",451
"Bangor",59
"Rochester",87
"Tampa / St. Petersburg (Sarasota)",354
"Traverse City / Cadillac",8
"Lexington",77
"Dayton",133
"Springfield / Holyoke",34
"Norfolk / Portsmouth / Newport News",110
"Greenville / New Bern / Washington",7
"Columbia",48
"Toledo",57
"West Palm Beach / Ft. Pierce",296
"Wilmington",25
"Lansing",71
"Presque Isle",4
"Marquette",36
"Syracuse",93
"Richmond / Petersburg",180
"Knoxville",66
"Raleigh / Durham (Fayetteville)",455
"Jacksonville",309
"Grand Rapids / Kalamazoo / Battle Creek",86
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",75
"Greenville / Spartanburg SC / Asheville NC / Anderson",141
"Harrisonburg",24
"Florence / Myrtle Beach",61
"Ft. Myers / Naples",107
"Roanoke / Lynchburg",78
"Johnstown / Altoona",257
"Chattanooga",19
"Salisbury",253
"Wilkes Barre / Scranton",48
"Terre Haute",5
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",58
"Gainesville",8
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",45
"Corpus Christi",37
"Chicago",2150
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",11
"Topeka",32
"St. Louis",224
"Rockford",68
"Rochester MN / Mason City IA / Austin",9
"Shreveport",36
"Minneapolis / St. Paul",632
"Kansas City",968
"Milwaukee",218
"Houston",789
"Springfield",52
"New Orleans",252
"Dallas / Ft. Worth",1419
"Sioux City",17
"Waco / Temple / Bryan",2250
"Victoria",2
"Wichita Falls TX & Lawton",2
"Birmingham",141
"Ottumwa IA / Kirksville",1
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",93
"Odessa / Midland",30
"Amarillo",5
"Austin",1615
"Harlingen / Weslaco / Brownsville / McAllen",4
"Cedar Rapids / Waterloo / Iowa City & Dubuque",250
"St. Joseph",9
"Jackson",14
"Memphis",136
"San Antonio",304
"Lafayette",15
"Alexandria",2
"Champaign & Springfield / Decatur",11
"Evansville",18
"Oklahoma City",275
"Lubbock",110
"Omaha",126
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",60
"Nashville",201
"San Angelo",103
"Abilene / Sweetwater",19
"Madison",377
"Ft. Smith / Fayetteville / Springdale / Rogers",24
"Tulsa",70
"Columbus / Tupelo / West Point",2
"Peoria / Bloomington",83
"Duluth MN / Superior",16
"Wichita / Hutchinson",76
"Des Moines / Ames",41
"Davenport IA / Rock Island / Moline",55
"Mobile AL / Pensacola (Ft. Walton Beach)",30
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",41
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",99
"Montgomery (Selma)",11
"La Crosse / Eau Claire",38
"Wausau / Rhinelander",10
"Tyler / Longview(Lufkin & Nacogdoches)",25
"Hattiesburg / Laurel",4
"Baton Rouge",25
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",52
"Lincoln & Hastings / Kearney",49
"Fargo / Valley City",6
"Sioux Falls(Mitchell)",171
"Bowling Green",44
"Mankato",3
"North Platte",2
"Anchorage",88
"Honolulu",210
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",1749
"Colorado Springs / Pueblo",21
"Phoenix",861
"Butte / Bozeman",102
"Great Falls",14
"Billings",198
"Boise",31
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",12
"Twin Falls",10
"Missoula",90
"Rapid City",3
"El Paso",16
"Helena",1
"Salt Lake City",562
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",27
"Albuquerque / Santa Fe",154
"Bakersfield",91
"Eugene",104
"Eureka",3
"Los Angeles",4545
"Palm Springs",23
"San Francisco / Oakland / San Jose",6822
"Yakima / Pasco / Richland / Kennewick",369
"Reno",33
"Medford / Klamath Falls",11
"Seattle / Tacoma",2126
"Portland",590
"Bend",183
"San Diego",539
"Monterey / Salinas",502
"Las Vegas",594
"Santa Barbara / Santa Maria / San Luis Obispo",56
"Sacramento / Stockton / Modesto",693
"Fresno / Visalia",20
"Chico / Redding",14
"Spokane",142
