"market","total_downloads"
"Portland / Auburn",20
"New York",5270
"Binghamton",71
"Macon",25
"Philadelphia",1704
"Detroit",671
"Boston MA / Manchester",1273
"Savannah",61
"Pittsburgh",361
"Ft. Wayne",24
"Cleveland / Akron (Canton)",265
"Washington DC (Hagerstown)",6403
"Baltimore",651
"Flint / Saginaw / Bay City",36
"Buffalo",131
"Cincinnati",181
"Charlotte",423
"Greensboro / High Point / Winston Salem",245
"Charleston",15
"Augusta",3
"Providence RI / New Bedford",105
"Columbus",21
"Burlington VT / Plattsburgh",108
"Atlanta",1375
"Albany",9
"Utica",19
"Indianapolis",260
"Miami / Ft. Lauderdale",879
"Louisville",237
"Tallahassee FL / Thomasville",12
"Tri-Cities TN",13
"Albany / Schenectady / Troy",185
"Hartford & New Haven",549
"Orlando / Daytona Beach / Melbourne",422
"Columbus",106
"Youngstown",451
"Bangor",59
"Rochester",108
"Tampa / St. Petersburg (Sarasota)",397
"Traverse City / Cadillac",8
"Lexington",85
"Dayton",136
"Springfield / Holyoke",53
"Norfolk / Portsmouth / Newport News",118
"Greenville / New Bern / Washington",8
"Columbia",50
"Toledo",57
"West Palm Beach / Ft. Pierce",353
"Wilmington",25
"Lansing",72
"Presque Isle",4
"Marquette",37
"Syracuse",106
"Richmond / Petersburg",187
"Knoxville",70
"Raleigh / Durham (Fayetteville)",487
"Jacksonville",319
"Grand Rapids / Kalamazoo / Battle Creek",87
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",79
"Greenville / Spartanburg SC / Asheville NC / Anderson",161
"Harrisonburg",24
"Florence / Myrtle Beach",66
"Ft. Myers / Naples",107
"Roanoke / Lynchburg",81
"Johnstown / Altoona",258
"Chattanooga",19
"Salisbury",254
"Wilkes Barre / Scranton",54
"Terre Haute",6
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",60
"Gainesville",8
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",45
"Corpus Christi",37
"Chicago",2321
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",14
"Topeka",32
"St. Louis",247
"Rockford",68
"Rochester MN / Mason City IA / Austin",9
"Shreveport",36
"Minneapolis / St. Paul",665
"Kansas City",1013
"Milwaukee",220
"Houston",848
"Springfield",54
"New Orleans",269
"Dallas / Ft. Worth",1573
"Sioux City",17
"Waco / Temple / Bryan",2275
"Victoria",2
"Wichita Falls TX & Lawton",2
"Birmingham",150
"Ottumwa IA / Kirksville",1
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",95
"Odessa / Midland",36
"Amarillo",6
"Austin",1683
"Harlingen / Weslaco / Brownsville / McAllen",4
"Cedar Rapids / Waterloo / Iowa City & Dubuque",262
"St. Joseph",9
"Jackson",21
"Memphis",162
"San Antonio",308
"Lafayette",15
"Alexandria",2
"Champaign & Springfield / Decatur",31
"Evansville",18
"Oklahoma City",320
"Lubbock",117
"Omaha",129
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",62
"Nashville",238
"San Angelo",110
"Abilene / Sweetwater",19
"Madison",390
"Ft. Smith / Fayetteville / Springdale / Rogers",28
"Tulsa",71
"Columbus / Tupelo / West Point",2
"Peoria / Bloomington",88
"Duluth MN / Superior",16
"Wichita / Hutchinson",76
"Des Moines / Ames",49
"Davenport IA / Rock Island / Moline",57
"Mobile AL / Pensacola (Ft. Walton Beach)",44
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",42
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",126
"Montgomery (Selma)",12
"La Crosse / Eau Claire",38
"Wausau / Rhinelander",10
"Tyler / Longview(Lufkin & Nacogdoches)",26
"Hattiesburg / Laurel",8
"Baton Rouge",31
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",54
"Lincoln & Hastings / Kearney",53
"Fargo / Valley City",6
"Sioux Falls(Mitchell)",179
"Bowling Green",44
"Mankato",3
"North Platte",2
"Anchorage",88
"Honolulu",226
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",2022
"Colorado Springs / Pueblo",27
"Phoenix",908
"Butte / Bozeman",104
"Great Falls",14
"Billings",198
"Boise",31
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",15
"Twin Falls",10
"Missoula",90
"Rapid City",3
"El Paso",21
"Helena",1
"Salt Lake City",605
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",28
"Albuquerque / Santa Fe",166
"Bakersfield",112
"Eugene",115
"Eureka",5
"Los Angeles",4841
"Palm Springs",23
"San Francisco / Oakland / San Jose",7079
"Yakima / Pasco / Richland / Kennewick",436
"Reno",33
"Medford / Klamath Falls",13
"Seattle / Tacoma",2299
"Portland",624
"Bend",197
"San Diego",615
"Monterey / Salinas",526
"Las Vegas",629
"Santa Barbara / Santa Maria / San Luis Obispo",57
"Sacramento / Stockton / Modesto",731
"Fresno / Visalia",21
"Chico / Redding",14
"Spokane",148
