"region","total_downloads"
", United States",3789
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",121
"Alabama, United States",231
"Armed Forces Pacific, United States",3
"Arkansas, United States",162
"Arizona, United States",968
"California, United States",14383
"Colorado, United States",1963
"Connecticut, United States",666
"District of Columbia, United States",823
"Delaware, United States",373
"Florida, United States",2626
"Georgia, United States",1510
"Hawaii, United States",220
"Iowa, United States",378
"Idaho, United States",85
"Illinois, United States",2654
"Indiana, United States",508
"Kansas, United States",762
"Kentucky, United States",405
"Louisiana, United States",338
"Massachusetts, United States",1096
"Maryland, United States",1390
"Maine, United States",82
"Michigan, United States",974
"Minnesota, United States",670
"Missouri, United States",722
"Mississippi, United States",119
"Montana, United States",395
"North Carolina, United States",1182
"North Dakota, United States",38
"Nebraska, United States",146
"New Hampshire, United States",182
"New Jersey, United States",2179
"New Mexico, United States",205
"Nevada, United States",663
"New York, United States",3969
"Ohio, United States",1192
"Oklahoma, United States",373
"Oregon, United States",1293
"Pennsylvania, United States",1737
"Rhode Island, United States",98
"South Carolina, United States",293
"South Dakota, United States",176
"Tennessee, United States",478
"Texas, United States",7593
"Utah, United States",600
"Virginia, United States",5023
"Vermont, United States",81
"Washington, United States",2588
"Wisconsin, United States",732
"West Virginia, United States",74
"Wyoming, United States",24
