"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",250,0,0,250
"TBP77 - Collective Governance","2016-08-01 02:13:02",1138,0,0,1138
"TBP76 - Skynet","2016-07-31 13:56:37",989,392,0,1381
"TBP75 - Attention Economy","2016-07-23 14:57:17",177,1206,0,1383
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",51,921,0,972
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",44,1262,0,1306
"TBP72 - The Broader Economy","2016-07-11 13:33:58",127,2729,0,2856
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",27,1388,0,1415
"TBP70 - Whitehat","2016-07-03 16:51:42",15,1257,0,1272
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",19,613,323,955
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",14,338,1437,1789
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",11,180,1165,1356
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",9,99,1043,1151
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",8,77,1038,1123
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",7,78,1074,1159
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",5,47,1005,1057
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",7,43,518,1058
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",5,41,165,795
"TBP60 - Release the Kraken","2016-05-23 03:32:09",9,79,262,1863
"TBP59 - Incredible India","2016-05-16 15:40:00",11,43,90,899
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",6,52,82,1557
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",6,53,94,1888
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",9,79,61,763
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",57,50,51,1008
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",5,31,30,628
"TBP53 - Tough Math","2016-04-17 16:24:01",13,63,38,1132
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",7,35,32,611
"TBP51 - Such Wow","2016-04-10 17:09:46",8,51,29,603
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",5,62,31,772
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",4,49,37,796
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",6,29,28,644
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",4,40,33,539
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",12,61,25,812
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",5,52,29,648
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",5,40,34,590
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",8,32,22,630
"TBP42 - True Micropayments","2016-02-21 23:13:15",4,42,23,772
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",3,44,29,579
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",4,42,32,1206
"TBP39 - Running the Gamut","2016-02-07 20:14:46",4,36,22,845
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",3,23,16,590
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",3,32,20,575
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",3,22,10,527
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",4,20,18,1010
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",3,22,17,771
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",3,18,24,652
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",3,19,23,715
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",3,18,16,464
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",3,14,11,465
"TBP29 - Take the Power Back","2015-12-06 16:35:49",4,20,18,578
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",4,18,14,553
"TBP27 - London Calling","2015-11-22 16:30:21",4,19,10,550
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",4,19,12,505
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",4,11,8,427
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",8,21,17,616
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",9,21,11,379
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",7,17,15,315
"TBP21 - Call For Papers","2015-10-10 13:06:37",5,18,17,356
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",5,22,14,363
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",5,20,16,406
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",7,17,12,381
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",5,15,12,483
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",6,20,13,413
"TBP15 - Ants Marching","2015-08-30 19:31:14",5,21,12,377
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",7,27,12,530
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",6,19,13,432
"TBP12 - Boring Economics","2015-08-08 00:53:49",4,32,18,604
"TBP11 - The End of Money","2015-08-03 04:12:02",4,24,10,533
