"state","requests"
"Alaska","85"
"Alabama","204"
"Arkansas","34"
"Arizona","382"
"California","4191"
"Colorado","554"
"Connecticut","183"
"District of Columbia","95"
"Delaware","27"
"Florida","862"
"Georgia","339"
"Hawaii","99"
"Iowa","66"
"Idaho","69"
"Illinois","801"
"Indiana","104"
"Kansas","104"
"Kentucky","84"
"Louisiana","122"
"Massachusetts","561"
"Maryland","354"
"Maine","10"
"Michigan","277"
"Minnesota","279"
"Missouri","137"
"Mississippi","33"
"Montana","33"
"North Carolina","349"
"North Dakota","11"
"Nebraska","92"
"New Hampshire","48"
"New Jersey","572"
"New Mexico","44"
"Armed Forces Europe Middle East & Canada","166"
"Nevada","238"
"New York","1773"
"Ohio","411"
"Oklahoma","81"
"Oregon","322"
"Pennsylvania","442"
"Rhode Island","56"
"South Carolina","52"
"South Dakota","20"
"Tennessee","159"
"Texas","1647"
"Utah","237"
"Virginia","309"
"Vermont","13"
"Washington","593"
"Wisconsin","198"
"West Virginia","10"
"Wyoming","12"
