"region","total_downloads"
", United States",9907
"Armed Forces Europe, Middle East, & Canada, United States",183
"Alaska, United States",694
"Alabama, United States",2587
"Armed Forces Pacific, United States",130
"Arkansas, United States",1118
"Arizona, United States",5610
"California, United States",89616
"Colorado, United States",9482
"Connecticut, United States",4617
"District of Columbia, United States",3510
"Delaware, United States",2016
"Florida, United States",18624
"Georgia, United States",9883
"Hawaii, United States",1843
"Iowa, United States",1963
"Idaho, United States",1318
"Illinois, United States",15808
"Indiana, United States",2887
"Kansas, United States",2035
"Kentucky, United States",1589
"Louisiana, United States",2547
"Massachusetts, United States",9251
"Maryland, United States",9359
"Maine, United States",526
"Michigan, United States",5942
"Minnesota, United States",5043
"Missouri, United States",3779
"Mississippi, United States",1211
"Montana, United States",775
"North Carolina, United States",12427
"North Dakota, United States",376
"Nebraska, United States",1418
"New Hampshire, United States",1290
"New Jersey, United States",13418
"New Mexico, United States",919
"Nevada, United States",4874
"New York, United States",33051
"Ohio, United States",7249
"Oklahoma, United States",1766
"Oregon, United States",6850
"Pennsylvania, United States",11018
"Rhode Island, United States",1349
"South Carolina, United States",2320
"South Dakota, United States",345
"Tennessee, United States",4878
"Texas, United States",36243
"Utah, United States",4205
"Virginia, United States",19829
"Vermont, United States",627
"Washington, United States",14433
"Wisconsin, United States",4194
"West Virginia, United States",319
"Wyoming, United States",129
