"market","total_downloads"
"Portland / Auburn",418
"New York",30330
"Binghamton",124
"Macon",105
"Philadelphia",7693
"Detroit",2842
"Boston MA / Manchester",7079
"Savannah",335
"Pittsburgh",2060
"Ft. Wayne",48
"Cleveland / Akron (Canton)",1489
"Washington DC (Hagerstown)",23169
"Baltimore",3277
"Flint / Saginaw / Bay City",258
"Buffalo",680
"Cincinnati",984
"Erie",7
"Charlotte",3378
"Greensboro / High Point / Winston Salem",752
"Charleston",108
"Augusta",87
"Providence RI / New Bedford",975
"Columbus",106
"Burlington VT / Plattsburgh",728
"Atlanta",5892
"Albany",95
"Utica",141
"Indianapolis",1316
"Miami / Ft. Lauderdale",5029
"Louisville",846
"Tallahassee FL / Thomasville",129
"Tri-Cities TN",174
"Albany / Schenectady / Troy",609
"Hartford & New Haven",2571
"Orlando / Daytona Beach / Melbourne",2478
"Columbus",1616
"Youngstown",547
"Bangor",71
"Rochester",595
"Tampa / St. Petersburg (Sarasota)",2969
"Traverse City / Cadillac",210
"Lexington",249
"Dayton",339
"Springfield / Holyoke",382
"Norfolk / Portsmouth / Newport News",763
"Greenville / New Bern / Washington",67
"Columbia",372
"Toledo",648
"West Palm Beach / Ft. Pierce",1319
"Watertown",102
"Wilmington",384
"Lansing",270
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",15
"Syracuse",339
"Richmond / Petersburg",772
"Knoxville",401
"Lima",4
"Bluefield / Beckley / Oak Hill",38
"Raleigh / Durham (Fayetteville)",4867
"Jacksonville",1149
"Grand Rapids / Kalamazoo / Battle Creek",624
"Charleston / Huntington",85
"Elmira",15
"Harrisburg / Lancaster / Lebanon / York",749
"Greenville / Spartanburg SC / Asheville NC / Anderson",1047
"Harrisonburg",51
"Florence / Myrtle Beach",172
"Ft. Myers / Naples",505
"Roanoke / Lynchburg",343
"Johnstown / Altoona",453
"Chattanooga",339
"Salisbury",1271
"Wilkes Barre / Scranton",355
"Terre Haute",21
"Lafayette",23
"Charlottesville",112
"South Bend / Elkhart",219
"Gainesville",157
"Zanesville",13
"Parkersburg",27
"Clarksburg / Weston",53
"Corpus Christi",53
"Chicago",9673
"Joplin MO / Pittsburg",25
"Columbia / Jefferson City",143
"Topeka",132
"Dothan",23
"St. Louis",1750
"Rockford",149
"Rochester MN / Mason City IA / Austin",166
"Shreveport",279
"Minneapolis / St. Paul",3764
"Kansas City",1665
"Milwaukee",1094
"Houston",4681
"Springfield",431
"New Orleans",1204
"Dallas / Ft. Worth",8430
"Sioux City",26
"Waco / Temple / Bryan",3359
"Victoria",2
"Wichita Falls TX & Lawton",9
"Monroe LA / El Dorado",60
"Birmingham",924
"Ottumwa IA / Kirksville",4
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",262
"Odessa / Midland",230
"Amarillo",125
"Austin",5939
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",848
"St. Joseph",18
"Jackson",84
"Memphis",704
"San Antonio",805
"Lafayette",32
"Lake Charles",4
"Alexandria",22
"Champaign & Springfield / Decatur",210
"Evansville",35
"Oklahoma City",831
"Lubbock",417
"Omaha",741
"Panama City",40
"Sherman TX / Ada",41
"Green Bay / Appleton",294
"Nashville",1944
"San Angelo",224
"Abilene / Sweetwater",24
"Madison",1674
"Ft. Smith / Fayetteville / Springdale / Rogers",227
"Tulsa",223
"Columbus / Tupelo / West Point",18
"Peoria / Bloomington",181
"Duluth MN / Superior",49
"Wichita / Hutchinson",431
"Des Moines / Ames",405
"Davenport IA / Rock Island / Moline",136
"Mobile AL / Pensacola (Ft. Walton Beach)",491
"Minot / Bismarck / Dickinson(Williston)",185
"Huntsville / Decatur (Florence)",334
"Beaumont / Port Arthur",27
"Little Rock / Pine Bluff",432
"Montgomery (Selma)",179
"La Crosse / Eau Claire",286
"Wausau / Rhinelander",41
"Tyler / Longview(Lufkin & Nacogdoches)",226
"Hattiesburg / Laurel",142
"Baton Rouge",490
"Quincy IL / Hannibal MO / Keokuk",3
"Jackson",286
"Lincoln & Hastings / Kearney",417
"Fargo / Valley City",153
"Sioux Falls(Mitchell)",274
"Jonesboro",15
"Bowling Green",65
"Mankato",15
"North Platte",3
"Anchorage",394
"Honolulu",1258
"Fairbanks",17
"Biloxi / Gulfport",434
"Juneau",104
"Laredo",11
"Denver",6864
"Colorado Springs / Pueblo",392
"Phoenix",3607
"Butte / Bozeman",232
"Great Falls",75
"Billings",242
"Boise",331
"Idaho Falls / Pocatello",118
"Cheyenne WY / Scottsbluff",72
"Twin Falls",49
"Missoula",134
"Rapid City",8
"El Paso",60
"Helena",2
"Casper / Riverton",5
"Salt Lake City",3179
"Yuma AZ / El Centro",5
"Grand Junction / Montrose",108
"Tucson (Sierra Vista)",290
"Albuquerque / Santa Fe",631
"Bakersfield",250
"Eugene",600
"Eureka",45
"Los Angeles",23543
"Palm Springs",242
"San Francisco / Oakland / San Jose",30894
"Yakima / Pasco / Richland / Kennewick",868
"Reno",279
"Medford / Klamath Falls",261
"Seattle / Tacoma",9719
"Portland",3595
"Bend",348
"San Diego",4616
"Monterey / Salinas",1867
"Las Vegas",3307
"Santa Barbara / Santa Maria / San Luis Obispo",1027
"Sacramento / Stockton / Modesto",3323
"Fresno / Visalia",192
"Chico / Redding",124
"Spokane",740
