"region","total_downloads"
", United States",3881
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",121
"Alabama, United States",236
"Armed Forces Pacific, United States",3
"Arkansas, United States",172
"Arizona, United States",985
"California, United States",14736
"Colorado, United States",2090
"Connecticut, United States",707
"District of Columbia, United States",852
"Delaware, United States",392
"Florida, United States",2743
"Georgia, United States",1576
"Hawaii, United States",226
"Iowa, United States",387
"Idaho, United States",86
"Illinois, United States",2726
"Indiana, United States",521
"Kansas, United States",762
"Kentucky, United States",409
"Louisiana, United States",352
"Massachusetts, United States",1166
"Maryland, United States",1450
"Maine, United States",82
"Michigan, United States",990
"Minnesota, United States",688
"Missouri, United States",786
"Mississippi, United States",127
"Montana, United States",396
"North Carolina, United States",1214
"North Dakota, United States",38
"Nebraska, United States",147
"New Hampshire, United States",207
"New Jersey, United States",2244
"New Mexico, United States",207
"Nevada, United States",683
"New York, United States",4135
"Ohio, United States",1201
"Oklahoma, United States",399
"Oregon, United States",1361
"Pennsylvania, United States",1784
"Rhode Island, United States",102
"South Carolina, United States",306
"South Dakota, United States",182
"Tennessee, United States",509
"Texas, United States",7799
"Utah, United States",615
"Virginia, United States",5158
"Vermont, United States",82
"Washington, United States",2694
"Wisconsin, United States",734
"West Virginia, United States",74
"Wyoming, United States",26
