"region","total_downloads"
", United States",3654
"Armed Forces Europe, Middle East, & Canada, United States",8
"Alaska, United States",120
"Alabama, United States",195
"Armed Forces Pacific, United States",2
"Arkansas, United States",119
"Arizona, United States",899
"California, United States",13023
"Colorado, United States",1683
"Connecticut, United States",601
"District of Columbia, United States",763
"Delaware, United States",327
"Florida, United States",2425
"Georgia, United States",1306
"Hawaii, United States",202
"Iowa, United States",327
"Idaho, United States",84
"Illinois, United States",2300
"Indiana, United States",456
"Kansas, United States",752
"Kentucky, United States",370
"Louisiana, United States",312
"Massachusetts, United States",966
"Maryland, United States",1253
"Maine, United States",82
"Michigan, United States",893
"Minnesota, United States",604
"Missouri, United States",663
"Mississippi, United States",97
"Montana, United States",384
"North Carolina, United States",1091
"North Dakota, United States",38
"Nebraska, United States",138
"New Hampshire, United States",166
"New Jersey, United States",1943
"New Mexico, United States",192
"Nevada, United States",619
"New York, United States",3615
"Ohio, United States",1147
"Oklahoma, United States",315
"Oregon, United States",1104
"Pennsylvania, United States",1517
"Rhode Island, United States",93
"South Carolina, United States",255
"South Dakota, United States",172
"Tennessee, United States",406
"Texas, United States",7025
"Utah, United States",421
"Virginia, United States",3373
"Vermont, United States",75
"Washington, United States",2312
"Wisconsin, United States",666
"West Virginia, United States",72
"Wyoming, United States",23
