"region","total_downloads"
", United States",8837
"Armed Forces Europe, Middle East, & Canada, United States",133
"Alaska, United States",515
"Alabama, United States",2008
"Armed Forces Pacific, United States",27
"Arkansas, United States",779
"Arizona, United States",4044
"California, United States",70293
"Colorado, United States",7485
"Connecticut, United States",3420
"District of Columbia, United States",3058
"Delaware, United States",1857
"Florida, United States",14590
"Georgia, United States",7577
"Hawaii, United States",1288
"Iowa, United States",1660
"Idaho, United States",900
"Illinois, United States",12419
"Indiana, United States",2246
"Kansas, United States",1654
"Kentucky, United States",1301
"Louisiana, United States",2161
"Massachusetts, United States",7068
"Maryland, United States",7542
"Maine, United States",452
"Michigan, United States",4565
"Minnesota, United States",3973
"Missouri, United States",3009
"Mississippi, United States",1006
"Montana, United States",679
"North Carolina, United States",10046
"North Dakota, United States",318
"Nebraska, United States",1089
"New Hampshire, United States",793
"New Jersey, United States",10421
"New Mexico, United States",733
"Nevada, United States",3676
"New York, United States",24203
"Ohio, United States",5889
"Oklahoma, United States",1179
"Oregon, United States",5302
"Pennsylvania, United States",8709
"Rhode Island, United States",907
"South Carolina, United States",1610
"South Dakota, United States",283
"Tennessee, United States",3679
"Texas, United States",28828
"Utah, United States",3310
"Virginia, United States",17905
"Vermont, United States",536
"Washington, United States",11493
"Wisconsin, United States",3365
"West Virginia, United States",244
"Wyoming, United States",108
