"market","total_downloads"
"Portland / Auburn",73
"New York",7074
"Binghamton",96
"Macon",41
"Philadelphia",2489
"Detroit",921
"Boston MA / Manchester",1718
"Savannah",78
"Pittsburgh",500
"Ft. Wayne",37
"Cleveland / Akron (Canton)",365
"Washington DC (Hagerstown)",9984
"Baltimore",882
"Flint / Saginaw / Bay City",44
"Buffalo",191
"Cincinnati",296
"Charlotte",672
"Greensboro / High Point / Winston Salem",297
"Charleston",17
"Augusta",13
"Providence RI / New Bedford",194
"Columbus",25
"Burlington VT / Plattsburgh",121
"Atlanta",1869
"Albany",11
"Utica",47
"Indianapolis",394
"Miami / Ft. Lauderdale",1211
"Louisville",288
"Tallahassee FL / Thomasville",14
"Tri-Cities TN",13
"Albany / Schenectady / Troy",259
"Hartford & New Haven",739
"Orlando / Daytona Beach / Melbourne",601
"Columbus",199
"Youngstown",451
"Bangor",59
"Rochester",140
"Tampa / St. Petersburg (Sarasota)",592
"Traverse City / Cadillac",17
"Lexington",104
"Dayton",186
"Springfield / Holyoke",130
"Norfolk / Portsmouth / Newport News",139
"Greenville / New Bern / Washington",10
"Columbia",173
"Toledo",109
"West Palm Beach / Ft. Pierce",520
"Watertown",14
"Wilmington",50
"Lansing",98
"Presque Isle",4
"Marquette",39
"Syracuse",129
"Richmond / Petersburg",279
"Knoxville",97
"Raleigh / Durham (Fayetteville)",917
"Jacksonville",417
"Grand Rapids / Kalamazoo / Battle Creek",120
"Charleston / Huntington",22
"Elmira",5
"Harrisburg / Lancaster / Lebanon / York",261
"Greenville / Spartanburg SC / Asheville NC / Anderson",253
"Harrisonburg",25
"Florence / Myrtle Beach",78
"Ft. Myers / Naples",172
"Roanoke / Lynchburg",94
"Johnstown / Altoona",301
"Chattanooga",37
"Salisbury",949
"Wilkes Barre / Scranton",100
"Terre Haute",15
"Lafayette",13
"Charlottesville",36
"South Bend / Elkhart",86
"Gainesville",9
"Zanesville",2
"Parkersburg",1
"Clarksburg / Weston",45
"Corpus Christi",37
"Chicago",3126
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",17
"Topeka",35
"St. Louis",490
"Rockford",95
"Rochester MN / Mason City IA / Austin",9
"Shreveport",40
"Minneapolis / St. Paul",923
"Kansas City",1054
"Milwaukee",268
"Houston",1219
"Springfield",100
"New Orleans",312
"Dallas / Ft. Worth",2292
"Sioux City",17
"Waco / Temple / Bryan",2346
"Victoria",2
"Wichita Falls TX & Lawton",3
"Birmingham",228
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",99
"Odessa / Midland",76
"Amarillo",13
"Austin",1865
"Harlingen / Weslaco / Brownsville / McAllen",9
"Cedar Rapids / Waterloo / Iowa City & Dubuque",351
"St. Joseph",11
"Jackson",44
"Memphis",244
"San Antonio",354
"Lafayette",17
"Alexandria",11
"Champaign & Springfield / Decatur",72
"Evansville",19
"Oklahoma City",407
"Lubbock",197
"Omaha",179
"Panama City",4
"Sherman TX / Ada",6
"Green Bay / Appleton",62
"Nashville",433
"San Angelo",136
"Abilene / Sweetwater",19
"Madison",683
"Ft. Smith / Fayetteville / Springdale / Rogers",29
"Tulsa",89
"Columbus / Tupelo / West Point",5
"Peoria / Bloomington",110
"Duluth MN / Superior",17
"Wichita / Hutchinson",103
"Des Moines / Ames",82
"Davenport IA / Rock Island / Moline",65
"Mobile AL / Pensacola (Ft. Walton Beach)",111
"Minot / Bismarck / Dickinson(Williston)",35
"Huntsville / Decatur (Florence)",140
"Beaumont / Port Arthur",5
"Little Rock / Pine Bluff",142
"Montgomery (Selma)",30
"La Crosse / Eau Claire",55
"Wausau / Rhinelander",27
"Tyler / Longview(Lufkin & Nacogdoches)",27
"Hattiesburg / Laurel",8
"Baton Rouge",38
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",104
"Lincoln & Hastings / Kearney",100
"Fargo / Valley City",15
"Sioux Falls(Mitchell)",211
"Bowling Green",44
"Mankato",11
"North Platte",2
"Anchorage",88
"Honolulu",338
"Fairbanks",1
"Biloxi / Gulfport",9
"Juneau",32
"Laredo",8
"Denver",2646
"Colorado Springs / Pueblo",56
"Phoenix",1143
"Butte / Bozeman",119
"Great Falls",26
"Billings",203
"Boise",102
"Idaho Falls / Pocatello",8
"Cheyenne WY / Scottsbluff",24
"Twin Falls",30
"Missoula",113
"Rapid City",5
"El Paso",28
"Helena",1
"Salt Lake City",818
"Grand Junction / Montrose",11
"Tucson (Sierra Vista)",34
"Albuquerque / Santa Fe",191
"Bakersfield",148
"Eugene",151
"Eureka",5
"Los Angeles",6740
"Palm Springs",39
"San Francisco / Oakland / San Jose",9563
"Yakima / Pasco / Richland / Kennewick",545
"Reno",53
"Medford / Klamath Falls",24
"Seattle / Tacoma",3263
"Portland",895
"Bend",214
"San Diego",927
"Monterey / Salinas",616
"Las Vegas",915
"Santa Barbara / Santa Maria / San Luis Obispo",78
"Sacramento / Stockton / Modesto",1004
"Fresno / Visalia",24
"Chico / Redding",15
"Spokane",183
