"market","total_downloads"
"Portland / Auburn",7
"New York",2850
"Binghamton",34
"Macon",5
"Philadelphia",827
"Detroit",351
"Boston MA / Manchester",726
"Savannah",33
"Pittsburgh",222
"Ft. Wayne",13
"Cleveland / Akron (Canton)",123
"Washington DC (Hagerstown)",2037
"Baltimore",394
"Flint / Saginaw / Bay City",34
"Buffalo",82
"Cincinnati",139
"Charlotte",288
"Greensboro / High Point / Winston Salem",135
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",55
"Columbus",15
"Burlington VT / Plattsburgh",83
"Atlanta",829
"Utica",13
"Indianapolis",144
"Miami / Ft. Lauderdale",528
"Louisville",179
"Tallahassee FL / Thomasville",11
"Tri-Cities TN",11
"Albany / Schenectady / Troy",152
"Hartford & New Haven",258
"Orlando / Daytona Beach / Melbourne",281
"Columbus",61
"Youngstown",451
"Bangor",32
"Rochester",56
"Tampa / St. Petersburg (Sarasota)",259
"Traverse City / Cadillac",8
"Lexington",7
"Dayton",104
"Springfield / Holyoke",11
"Norfolk / Portsmouth / Newport News",60
"Greenville / New Bern / Washington",5
"Columbia",43
"Toledo",24
"West Palm Beach / Ft. Pierce",213
"Wilmington",12
"Lansing",25
"Presque Isle",4
"Syracuse",65
"Richmond / Petersburg",118
"Knoxville",44
"Raleigh / Durham (Fayetteville)",219
"Jacksonville",255
"Grand Rapids / Kalamazoo / Battle Creek",72
"Charleston / Huntington",15
"Elmira",3
"Harrisburg / Lancaster / Lebanon / York",45
"Greenville / Spartanburg SC / Asheville NC / Anderson",67
"Harrisonburg",24
"Florence / Myrtle Beach",36
"Ft. Myers / Naples",64
"Roanoke / Lynchburg",61
"Johnstown / Altoona",133
"Chattanooga",8
"Salisbury",92
"Wilkes Barre / Scranton",5
"Terre Haute",4
"Lafayette",2
"Charlottesville",3
"South Bend / Elkhart",28
"Gainesville",6
"Zanesville",1
"Parkersburg",1
"Clarksburg / Weston",42
"Corpus Christi",32
"Chicago",1386
"Joplin MO / Pittsburg",2
"Columbia / Jefferson City",7
"Topeka",7
"St. Louis",147
"Rockford",60
"Rochester MN / Mason City IA / Austin",9
"Shreveport",33
"Minneapolis / St. Paul",389
"Kansas City",319
"Milwaukee",148
"Houston",476
"Springfield",34
"New Orleans",197
"Dallas / Ft. Worth",878
"Sioux City",14
"Waco / Temple / Bryan",1949
"Victoria",2
"Wichita Falls TX & Lawton",1
"Birmingham",83
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",88
"Odessa / Midland",26
"Amarillo",2
"Austin",1349
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",201
"St. Joseph",3
"Jackson",11
"Memphis",71
"San Antonio",185
"Lafayette",12
"Champaign & Springfield / Decatur",6
"Evansville",9
"Oklahoma City",170
"Lubbock",73
"Omaha",82
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",57
"Nashville",102
"San Angelo",81
"Abilene / Sweetwater",1
"Madison",271
"Ft. Smith / Fayetteville / Springdale / Rogers",23
"Tulsa",48
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",17
"Duluth MN / Superior",4
"Wichita / Hutchinson",56
"Des Moines / Ames",17
"Davenport IA / Rock Island / Moline",49
"Mobile AL / Pensacola (Ft. Walton Beach)",26
"Minot / Bismarck / Dickinson(Williston)",33
"Huntsville / Decatur (Florence)",25
"Beaumont / Port Arthur",4
"Little Rock / Pine Bluff",36
"Montgomery (Selma)",8
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",8
"Tyler / Longview(Lufkin & Nacogdoches)",21
"Hattiesburg / Laurel",4
"Baton Rouge",13
"Jackson",20
"Lincoln & Hastings / Kearney",19
"Fargo / Valley City",4
"Sioux Falls(Mitchell)",149
"Bowling Green",43
"Mankato",2
"North Platte",2
"Anchorage",85
"Honolulu",109
"Fairbanks",1
"Biloxi / Gulfport",7
"Juneau",20
"Laredo",1
"Denver",1033
"Colorado Springs / Pueblo",8
"Phoenix",565
"Butte / Bozeman",83
"Great Falls",2
"Billings",106
"Boise",26
"Idaho Falls / Pocatello",7
"Cheyenne WY / Scottsbluff",11
"Twin Falls",9
"Missoula",54
"El Paso",4
"Salt Lake City",250
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",25
"Albuquerque / Santa Fe",127
"Bakersfield",48
"Eugene",35
"Eureka",2
"Los Angeles",2789
"Palm Springs",23
"San Francisco / Oakland / San Jose",4251
"Yakima / Pasco / Richland / Kennewick",254
"Reno",23
"Medford / Klamath Falls",8
"Seattle / Tacoma",1153
"Portland",270
"Bend",64
"San Diego",350
"Monterey / Salinas",351
"Las Vegas",424
"Santa Barbara / Santa Maria / San Luis Obispo",49
"Sacramento / Stockton / Modesto",330
"Fresno / Visalia",16
"Chico / Redding",10
"Spokane",119
