"item_title","release_date","downloads__september","downloads__august","downloads__july","downloads__total"
"TBP152 - Pally on the Block","2017-09-10 14:02:18",618,0,0,618
"An Ethereum Podcast: Episode #1","2017-09-08 05:00:42",3198,0,0,3198
"TBP151 - Crypto Boom Boom Room","2017-09-07 13:29:27",3155,0,0,3155
"Buy or Sell, What the Hell #2","2017-09-04 18:28:30",3727,0,0,3727
"NABP #11: Ozzy The BS Filter","2017-09-04 15:43:20",3753,0,0,3753
"TBP150 - EGO with ETH","2017-09-04 02:16:51",4046,0,0,4046
"BlockChannel Episode 29: Making Sense of Cent.co","2017-09-01 14:01:40",3888,0,0,3888
"NABP #10: Benjamin Semchee","2017-09-01 13:28:48",2893,0,0,2893
"Ether Review Legal #5 — BernsWeiss Stops the IRS in its Tracks","2017-08-28 00:45:33",475,3188,0,3663
"Episode #13: On-Ramping with Dee","2017-08-28 00:27:03",744,3367,0,4111
"TBP149 - The Rivetz Security Project","2017-08-27 01:07:34",530,3915,0,4445
"NABP #9: JP Richardson","2017-08-22 15:49:09",242,4023,0,4265
"Buy or Sell, What the Hell #1","2017-08-22 12:59:58",414,4537,0,4951
"TBP148 - Controversial Persona","2017-08-20 17:08:54",278,4728,0,5006
"BlockChannel Episode 28: Securing the Metaverse, with Decentraland","2017-08-17 15:14:51",177,3807,0,3984
"BlockChannel Episode 27: Po.et and We Didn't Even Know It","2017-08-17 15:02:37",166,3760,0,3926
"TBP147 - History of Security","2017-08-16 21:33:46",195,3934,0,4129
"Ether Review #71 — David Bailey on Po.et & the MtGox/BTC-e Connection","2017-08-16 00:15:48",154,3516,0,3670
"TBP146 - The Rise and Rise of Charlie Shrem","2017-08-13 03:37:50",196,7282,0,7478
"TBP145 - Hopes and Fears for Filecoin","2017-08-09 02:30:34",177,5849,0,6026
"NABP #8: Vortex","2017-08-07 21:45:42",129,3795,0,3924
"Episode #12: On-Ramping with Dee","2017-08-06 14:26:49",107,3547,0,3654
"TBP144 - Tomorrow's Electricity Today","2017-08-06 13:54:37",149,3850,0,3999
"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley","2017-08-04 15:58:25",95,3302,0,3397
"TBP143 - Damned If You Do, Bored If You Don't","2017-08-04 04:37:32",108,4876,0,4984
"NABP #7: Marcello","2017-08-01 02:15:49",90,4364,0,4454
"TBP142 - The Need For More Information","2017-07-29 19:29:38",79,1610,2640,4329
"TBP141 - The CMO Primer For the Blockchain World","2017-07-27 23:37:26",61,873,3023,3957
"BlockChannel Episode 26: Off the Grid, with Grid+","2017-07-25 16:04:02",54,980,2496,3530
"Ether Review Legal #3 — The Simple Agreement for Future Tokens","2017-07-25 15:45:03",63,597,2734,3394
"TBP140 - 5G vs 4G and the Future of Mobile Networks","2017-07-23 02:06:48",58,540,3946,4544
"Ether Review #69 — IOTA & the Post-Blockchain Era","2017-07-19 15:22:30",99,711,4308,5118
"NABP #6: John Crothers","2017-07-19 03:43:01",83,431,2538,3052
"BlockChannel Episode 25: Building Digital Communities, with District0x","2017-07-16 13:44:35",59,327,2742,3128
"TBP139 - Surviving the BIP 148 UASF","2017-07-16 04:53:09",46,331,5261,5638
"TBP138 - The 21st Century 49ers","2017-07-16 04:35:43",57,451,3266,3774
"NABP #5: Ryan X Charles","2017-07-13 23:03:09",38,361,3618,4017
"The Ether Review #68 — Numerai, The Last Hedge Fund","2017-07-12 15:23:39",46,293,2902,3241
"NABP #4: Benjamin Perrin","2017-07-11 22:22:59",39,402,3911,4352
"TBP137 - Countdown to SegWit","2017-07-09 13:52:24",46,355,6835,7236
"NABP #3: Adam Meister","2017-07-06 12:49:09",51,234,3719,4004
"Episode #11: On-Ramping with Dee","2017-07-04 15:12:19",34,181,2913,3128
"TBP136 - A New Type of Ownership","2017-07-02 00:11:34",36,234,4370,4640
"NABP #2: Crypto Maak","2017-07-01 02:49:34",76,284,3271,3631
"Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens","2017-06-27 20:13:45",44,188,1137,4215
"TBP135 - Yanking Our Blockchain","2017-06-24 19:40:04",55,191,732,5352
"Announcements with Dr. Petty: Impak Finance","2017-06-22 13:32:00",26,135,390,3215
"BlockChannel Episode 24: Bringing Crypto to the World, with Prince EA","2017-06-21 20:45:56",34,132,459,3474
"NABP #1: Sandra Malalah","2017-06-20 19:24:47",36,126,460,2839
"BlockChannel Episode 23: Unmasking the Future, with Metamask","2017-06-20 00:36:36",44,140,421,4352
"TBP134 - More Marketing Discipline","2017-06-17 19:37:08",28,103,529,4503
"TBP133 - ICO Woes with MyEtherWallet","2017-06-16 14:22:11",42,146,433,4745
"The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!","2017-06-13 16:08:35",21,134,242,3623
"TBP132 - Dark Side of the Prism","2017-06-11 01:00:10",35,157,260,4359
"TBP131 - Ending Corporate Dominance","2017-06-03 21:05:31",20,110,233,5665
"Announcements with Dr. Petty: Patientory","2017-05-29 14:44:11",12,86,141,3075
"Episode #10: On-Ramping with Dee","2017-05-28 13:33:08",13,100,130,2099
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",20,88,178,2879
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",24,88,194,2387
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",25,97,125,2307
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",24,89,130,3326
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",26,93,174,3501
"TBP128 - Family","2017-05-14 02:41:39",23,67,106,3333
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",20,75,79,3896
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",53,162,114,2496
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",68,206,386,7494
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",21,132,79,3319
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",23,71,61,2551
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",19,56,68,1673
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",24,70,88,2047
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",57,149,109,2823
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",21,55,53,1826
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",20,57,55,1807
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",13,64,68,2282
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",19,52,40,1741
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",10,50,44,2784
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",18,49,45,2449
"TBP120 - The Token Protocol","2017-03-25 20:31:45",52,173,99,3500
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",13,68,100,2651
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",15,49,49,2091
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",22,59,58,2032
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",20,95,127,2993
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",10,56,39,1572
