"item_title","release_date","downloads__february","downloads__january","downloads__december","downloads__total"
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",9,8,8,1982
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",8,19,20,864
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",3,13,12,1094
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",4,17,9,694
"TBP53 - Tough Math","2016-04-17 16:24:01",5,11,10,1210
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",4,7,9,676
"TBP51 - Such Wow","2016-04-10 17:09:46",5,6,11,670
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",3,10,11,841
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",3,12,9,918
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",4,7,14,709
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",3,7,14,612
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",4,6,12,883
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",4,6,13,725
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",5,9,11,661
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",5,8,20,720
"TBP42 - True Micropayments","2016-02-21 23:13:15",5,8,11,850
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",5,7,13,654
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",3,18,13,1298
"TBP39 - Running the Gamut","2016-02-07 20:14:46",5,6,13,907
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",7,9,13,660
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",9,22,14,680
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",5,5,6,577
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",5,9,7,1086
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",10,10,6,830
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",32,15,7,742
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",6,15,6,821
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",8,9,10,528
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",9,15,6,532
"TBP29 - Take the Power Back","2015-12-06 16:35:49",28,15,6,711
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",13,9,9,641
"TBP27 - London Calling","2015-11-22 16:30:21",7,9,6,613
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",9,11,5,560
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",6,13,3,492
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",20,21,9,731
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",8,19,7,454
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",1,5,7,396
"TBP21 - Call For Papers","2015-10-10 13:06:37",0,14,5,446
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",1,14,6,468
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,12,7,486
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",1,7,7,461
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,6,5,549
