"market","total_downloads"
"Portland / Auburn",336
"New York",19737
"Binghamton",112
"Macon",66
"Philadelphia",5611
"Detroit",1958
"Boston MA / Manchester",4181
"Savannah",240
"Pittsburgh",1456
"Ft. Wayne",46
"Cleveland / Akron (Canton)",951
"Washington DC (Hagerstown)",18389
"Baltimore",2145
"Flint / Saginaw / Bay City",171
"Buffalo",496
"Cincinnati",759
"Erie",5
"Charlotte",1868
"Greensboro / High Point / Winston Salem",552
"Charleston",77
"Augusta",55
"Providence RI / New Bedford",528
"Columbus",98
"Burlington VT / Plattsburgh",413
"Atlanta",4194
"Albany",76
"Utica",100
"Indianapolis",862
"Miami / Ft. Lauderdale",3740
"Louisville",629
"Tallahassee FL / Thomasville",73
"Tri-Cities TN",69
"Albany / Schenectady / Troy",421
"Hartford & New Haven",1847
"Orlando / Daytona Beach / Melbourne",1511
"Columbus",651
"Youngstown",503
"Bangor",70
"Rochester",419
"Tampa / St. Petersburg (Sarasota)",2181
"Traverse City / Cadillac",73
"Lexington",225
"Dayton",275
"Springfield / Holyoke",322
"Norfolk / Portsmouth / Newport News",470
"Greenville / New Bern / Washington",37
"Columbia",303
"Toledo",328
"West Palm Beach / Ft. Pierce",1004
"Watertown",78
"Wilmington",294
"Lansing",191
"Presque Isle",4
"Marquette",44
"Wheeling WV / Steubenville",4
"Syracuse",300
"Richmond / Petersburg",616
"Knoxville",307
"Lima",2
"Bluefield / Beckley / Oak Hill",23
"Raleigh / Durham (Fayetteville)",3877
"Jacksonville",877
"Grand Rapids / Kalamazoo / Battle Creek",429
"Charleston / Huntington",27
"Elmira",8
"Harrisburg / Lancaster / Lebanon / York",550
"Greenville / Spartanburg SC / Asheville NC / Anderson",610
"Harrisonburg",43
"Florence / Myrtle Beach",135
"Ft. Myers / Naples",445
"Roanoke / Lynchburg",245
"Johnstown / Altoona",401
"Chattanooga",191
"Salisbury",1196
"Wilkes Barre / Scranton",227
"Terre Haute",20
"Lafayette",22
"Charlottesville",75
"South Bend / Elkhart",177
"Gainesville",50
"Zanesville",2
"Parkersburg",11
"Clarksburg / Weston",51
"Corpus Christi",53
"Chicago",6542
"Joplin MO / Pittsburg",14
"Columbia / Jefferson City",52
"Topeka",104
"Dothan",20
"St. Louis",1081
"Rockford",114
"Rochester MN / Mason City IA / Austin",15
"Shreveport",179
"Minneapolis / St. Paul",2586
"Kansas City",1367
"Milwaukee",775
"Houston",3291
"Springfield",277
"New Orleans",878
"Dallas / Ft. Worth",6175
"Sioux City",19
"Waco / Temple / Bryan",2786
"Victoria",2
"Wichita Falls TX & Lawton",5
"Monroe LA / El Dorado",21
"Birmingham",556
"Ottumwa IA / Kirksville",2
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",185
"Odessa / Midland",188
"Amarillo",75
"Austin",3726
"Harlingen / Weslaco / Brownsville / McAllen",16
"Cedar Rapids / Waterloo / Iowa City & Dubuque",698
"St. Joseph",17
"Jackson",83
"Memphis",492
"San Antonio",588
"Lafayette",31
"Lake Charles",2
"Alexandria",20
"Champaign & Springfield / Decatur",132
"Evansville",27
"Oklahoma City",605
"Lubbock",348
"Omaha",569
"Panama City",25
"Sherman TX / Ada",9
"Green Bay / Appleton",170
"Nashville",1424
"San Angelo",190
"Abilene / Sweetwater",22
"Madison",1286
"Ft. Smith / Fayetteville / Springdale / Rogers",120
"Tulsa",111
"Columbus / Tupelo / West Point",16
"Peoria / Bloomington",130
"Duluth MN / Superior",45
"Wichita / Hutchinson",162
"Des Moines / Ames",268
"Davenport IA / Rock Island / Moline",113
"Mobile AL / Pensacola (Ft. Walton Beach)",354
"Minot / Bismarck / Dickinson(Williston)",112
"Huntsville / Decatur (Florence)",281
"Beaumont / Port Arthur",25
"Little Rock / Pine Bluff",325
"Montgomery (Selma)",140
"La Crosse / Eau Claire",179
"Wausau / Rhinelander",40
"Tyler / Longview(Lufkin & Nacogdoches)",201
"Hattiesburg / Laurel",71
"Baton Rouge",279
"Quincy IL / Hannibal MO / Keokuk",1
"Jackson",245
"Lincoln & Hastings / Kearney",271
"Fargo / Valley City",36
"Sioux Falls(Mitchell)",253
"Jonesboro",15
"Bowling Green",45
"Mankato",14
"North Platte",2
"Anchorage",218
"Honolulu",832
"Fairbanks",6
"Biloxi / Gulfport",365
"Juneau",68
"Laredo",9
"Denver",5072
"Colorado Springs / Pueblo",247
"Phoenix",2400
"Butte / Bozeman",184
"Great Falls",72
"Billings",240
"Boise",228
"Idaho Falls / Pocatello",64
"Cheyenne WY / Scottsbluff",46
"Twin Falls",47
"Missoula",125
"Rapid City",5
"El Paso",45
"Helena",1
"Casper / Riverton",5
"Salt Lake City",2116
"Yuma AZ / El Centro",2
"Grand Junction / Montrose",53
"Tucson (Sierra Vista)",197
"Albuquerque / Santa Fe",458
"Bakersfield",234
"Eugene",339
"Eureka",16
"Los Angeles",16537
"Palm Springs",185
"San Francisco / Oakland / San Jose",21430
"Yakima / Pasco / Richland / Kennewick",759
"Reno",192
"Medford / Klamath Falls",93
"Seattle / Tacoma",6933
"Portland",2564
"Bend",314
"San Diego",3066
"Monterey / Salinas",1421
"Las Vegas",2171
"Santa Barbara / Santa Maria / San Luis Obispo",527
"Sacramento / Stockton / Modesto",2352
"Fresno / Visalia",114
"Chico / Redding",63
"Spokane",500
