"region","total_downloads"
", United States",5065
"Armed Forces Europe, Middle East, & Canada, United States",12
"Alaska, United States",121
"Alabama, United States",475
"Armed Forces Pacific, United States",3
"Arkansas, United States",204
"Arizona, United States",1261
"California, United States",21693
"Colorado, United States",2885
"Connecticut, United States",1023
"District of Columbia, United States",1163
"Delaware, United States",1147
"Florida, United States",4096
"Georgia, United States",2321
"Hawaii, United States",374
"Iowa, United States",543
"Idaho, United States",216
"Illinois, United States",4142
"Indiana, United States",790
"Kansas, United States",818
"Kentucky, United States",531
"Louisiana, United States",458
"Massachusetts, United States",1766
"Maryland, United States",2057
"Maine, United States",165
"Michigan, United States",1422
"Minnesota, United States",1063
"Missouri, United States",1083
"Mississippi, United States",222
"Montana, United States",463
"North Carolina, United States",2530
"North Dakota, United States",48
"Nebraska, United States",252
"New Hampshire, United States",243
"New Jersey, United States",3302
"New Mexico, United States",257
"Nevada, United States",1044
"New York, United States",5898
"Ohio, United States",1702
"Oklahoma, United States",530
"Oregon, United States",1972
"Pennsylvania, United States",2905
"Rhode Island, United States",209
"South Carolina, United States",564
"South Dakota, United States",224
"Tennessee, United States",896
"Texas, United States",9925
"Utah, United States",905
"Virginia, United States",9036
"Vermont, United States",97
"Washington, United States",4166
"Wisconsin, United States",1184
"West Virginia, United States",88
"Wyoming, United States",37
