"item_title","release_date","downloads__may","downloads__april","downloads__march","downloads__total"
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",11,56,13,1305
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",9,8,9,1146
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",9,7,11,1307
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",17,9,17,1737
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",13,60,36,1630
"TBP81 - Redefining Trust","2016-08-21 00:51:47",12,8,10,1475
"TBP80 - A Means to an End","2016-08-13 21:30:49",13,7,13,1328
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",17,12,18,2358
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",20,7,12,1684
"TBP77 - Collective Governance","2016-08-01 02:13:02",46,137,147,2583
"TBP76 - Skynet","2016-07-31 13:56:37",42,196,147,2749
"TBP75 - Attention Economy","2016-07-23 14:57:17",12,16,12,1707
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",14,14,10,1209
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",13,9,14,1489
"TBP72 - The Broader Economy","2016-07-11 13:33:58",34,58,38,3385
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",21,12,77,1797
"TBP70 - Whitehat","2016-07-03 16:51:42",13,8,23,1451
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",13,18,38,1200
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",31,13,24,2017
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",36,8,24,1517
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",14,7,23,1284
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",13,7,20,1272
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",14,10,25,1309
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",12,7,18,1185
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",11,5,14,1157
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",15,6,17,908
"TBP60 - Release the Kraken","2016-05-23 03:32:09",55,7,52,2157
"TBP59 - Incredible India","2016-05-16 15:40:00",22,6,14,1034
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",86,14,12,1811
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",37,9,12,2040
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",26,11,11,912
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",49,17,57,1218
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",5,12,5,716
"TBP53 - Tough Math","2016-04-17 16:24:01",0,14,42,1266
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",0,4,8,688
"TBP51 - Such Wow","2016-04-10 17:09:46",1,5,8,684
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",1,11,6,859
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",1,5,6,930
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",1,2,7,719
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",1,4,6,623
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",2,17,15,917
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",4,18,8,755
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",1,7,7,676
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",0,2,28,750
"TBP42 - True Micropayments","2016-02-21 23:13:15",0,0,15,865
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",0,0,21,675
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",2,3,10,1313
"TBP39 - Running the Gamut","2016-02-07 20:14:46",0,0,5,912
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",2,0,8,672
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",3,2,32,717
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",0,0,1,578
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",4,1,3,1094
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",1,2,2,835
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,2,1,746
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",0,0,0,821
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",0,3,2,534
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",0,2,0,534
"TBP29 - Take the Power Back","2015-12-06 16:35:49",0,1,2,714
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,1,4,647
"TBP27 - London Calling","2015-11-22 16:30:21",0,1,2,616
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",0,2,1,563
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,5,0,497
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",3,7,4,745
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,3,2,459
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",0,0,1,397
"TBP21 - Call For Papers","2015-10-10 13:06:37",0,2,0,448
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",0,0,0,468
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",0,0,1,487
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,0,0,461
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",1,0,0,550
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",0,0,1,509
