"state","requests"
"Alaska","203"
"Alabama","97"
"Arkansas","91"
"Arizona","444"
"California","6305"
"Colorado","626"
"Connecticut","331"
"District of Columbia","202"
"Delaware","56"
"Florida","1503"
"Georgia","756"
"Hawaii","198"
"Iowa","167"
"Idaho","138"
"Illinois","1327"
"Indiana","241"
"Kansas","172"
"Kentucky","130"
"Louisiana","129"
"Massachusetts","710"
"Maryland","395"
"Maine","27"
"Michigan","494"
"Minnesota","359"
"Missouri","333"
"Mississippi","37"
"Montana","25"
"North Carolina","555"
"North Dakota","35"
"Nebraska","113"
"New Hampshire","141"
"New Jersey","782"
"New Mexico","46"
"Armed Forces Europe Middle East & Canada","39"
"Nevada","364"
"New York","2596"
"Ohio","516"
"Oklahoma","157"
"Oregon","601"
"Pennsylvania","700"
"Rhode Island","139"
"South Carolina","104"
"South Dakota","10"
"Tennessee","382"
"Texas","1987"
"Utah","212"
"Virginia","549"
"Vermont","48"
"Washington","1218"
"Wisconsin","325"
"West Virginia","2"
"Wyoming","12"
