"region","region_name","country_code","region","requests"
"Alaska","85","Alaska","US","US-AK"
"Alabama","204","Alabama","US","US-AL"
"Arkansas","34","Arkansas","US","US-AR"
"Arizona","382","Arizona","US","US-AZ"
"California","4191","California","US","US-CA"
"Colorado","554","Colorado","US","US-CO"
"Connecticut","183","Connecticut","US","US-CT"
"District of Columbia","95","District of Columbia","US","US-DC"
"Delaware","27","Delaware","US","US-DE"
"Florida","862","Florida","US","US-FL"
"Georgia","339","Georgia","US","US-GA"
"Hawaii","99","Hawaii","US","US-HI"
"Iowa","66","Iowa","US","US-IA"
"Idaho","69","Idaho","US","US-ID"
"Illinois","801","Illinois","US","US-IL"
"Indiana","104","Indiana","US","US-IN"
"Kansas","104","Kansas","US","US-KS"
"Kentucky","84","Kentucky","US","US-KY"
"Louisiana","122","Louisiana","US","US-LA"
"Massachusetts","561","Massachusetts","US","US-MA"
"Maryland","354","Maryland","US","US-MD"
"Maine","10","Maine","US","US-ME"
"Michigan","277","Michigan","US","US-MI"
"Minnesota","279","Minnesota","US","US-MN"
"Missouri","137","Missouri","US","US-MO"
"Mississippi","33","Mississippi","US","US-MS"
"Montana","33","Montana","US","US-MT"
"North Carolina","349","North Carolina","US","US-NC"
"North Dakota","11","North Dakota","US","US-ND"
"Nebraska","92","Nebraska","US","US-NE"
"New Hampshire","48","New Hampshire","US","US-NH"
"New Jersey","572","New Jersey","US","US-NJ"
"New Mexico","44","New Mexico","US","US-NM"
"Armed Forces Europe Middle East & Canada","166","Armed Forces Europe Middle East & Canada","US","US-NUL"
"Nevada","238","Nevada","US","US-NV"
"New York","1773","New York","US","US-NY"
"Ohio","411","Ohio","US","US-OH"
"Oklahoma","81","Oklahoma","US","US-OK"
"Oregon","322","Oregon","US","US-OR"
"Pennsylvania","442","Pennsylvania","US","US-PA"
"Rhode Island","56","Rhode Island","US","US-RI"
"South Carolina","52","South Carolina","US","US-SC"
"South Dakota","20","South Dakota","US","US-SD"
"Tennessee","159","Tennessee","US","US-TN"
"Texas","1647","Texas","US","US-TX"
"Utah","237","Utah","US","US-UT"
"Virginia","309","Virginia","US","US-VA"
"Vermont","13","Vermont","US","US-VT"
"Washington","593","Washington","US","US-WA"
"Wisconsin","198","Wisconsin","US","US-WI"
"West Virginia","10","West Virginia","US","US-WV"
"Wyoming","12","Wyoming","US","US-WY"
