"item_title","release_date","downloads__september","downloads__august","downloads__july","downloads__total"
"TBP87 - The World is YOURS","2016-09-18 15:16:48",387,0,0,387
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",813,0,0,813
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",894,0,0,894
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",1123,0,0,1123
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",1365,4,0,1369
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",238,1011,0,1249
"TBP81 - Redefining Trust","2016-08-21 00:51:47",147,1123,0,1270
"TBP80 - A Means to an End","2016-08-13 21:30:49",93,1094,0,1187
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",93,1981,0,2074
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",55,1441,0,1496
"TBP77 - Collective Governance","2016-08-01 02:13:02",56,1519,0,1575
"TBP76 - Skynet","2016-07-31 13:56:37",37,1192,392,1621
"TBP75 - Attention Economy","2016-07-23 14:57:17",44,285,1206,1535
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",24,111,921,1056
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",14,90,1262,1366
"TBP72 - The Broader Economy","2016-07-11 13:33:58",43,293,2729,3065
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",29,71,1388,1488
"TBP70 - Whitehat","2016-07-03 16:51:42",29,48,1257,1334
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",26,51,613,1013
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",13,74,338,1862
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",13,25,180,1383
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",10,22,99,1174
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",11,25,77,1151
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",9,18,78,1179
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",10,16,47,1078
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",6,18,43,1075
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",11,15,41,816
"TBP60 - Release the Kraken","2016-05-23 03:32:09",25,27,79,1906
"TBP59 - Incredible India","2016-05-16 15:40:00",10,26,43,924
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",23,30,52,1604
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",19,23,53,1924
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",6,20,79,780
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",11,69,50,1031
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",4,12,31,639
"TBP53 - Tough Math","2016-04-17 16:24:01",9,25,63,1153
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",5,18,35,627
"TBP51 - Such Wow","2016-04-10 17:09:46",5,19,51,619
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",5,18,62,790
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",7,12,49,811
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",5,15,29,658
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",3,26,40,564
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",5,28,61,833
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",3,13,52,659
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",5,11,40,601
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",4,16,32,642
"TBP42 - True Micropayments","2016-02-21 23:13:15",8,14,42,790
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",5,15,44,596
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",6,13,42,1221
"TBP39 - Running the Gamut","2016-02-07 20:14:46",3,11,36,855
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",5,11,23,603
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",10,18,32,600
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",5,9,22,538
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",9,16,20,1031
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",4,10,22,782
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",6,12,18,667
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",4,11,19,727
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",3,13,18,477
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",4,12,14,478
"TBP29 - Take the Power Back","2015-12-06 16:35:49",5,13,20,592
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",4,10,18,563
"TBP27 - London Calling","2015-11-22 16:30:21",4,14,19,564
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",3,10,19,514
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",5,12,11,440
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",6,16,21,630
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",3,16,21,389
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",3,16,17,327
"TBP21 - Call For Papers","2015-10-10 13:06:37",4,11,18,366
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",4,20,22,382
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",3,11,20,415
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",4,15,17,393
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",4,11,15,493
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",5,11,20,423
"TBP15 - Ants Marching","2015-08-30 19:31:14",8,14,21,394
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",10,15,27,548
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",3,14,19,443
"TBP12 - Boring Economics","2015-08-08 00:53:49",2,14,32,616
"TBP11 - The End of Money","2015-08-03 04:12:02",6,15,24,550
"TBP10 - Bottoms Up","2015-07-24 13:32:59",6,16,13,452
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",5,18,36,516
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",8,23,21,585
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",311,296,34,1089
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",303,298,20,1021
"TBP05 - The World's Strongest","2015-06-28 22:55:15",304,296,24,1097
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",310,297,35,1193
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",311,312,25,1176
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",331,338,71,1339
"Episode #1 - Introduction","2015-06-01 00:34:44",366,356,107,1778
