date,total_downloads
2016-03-17,127.0
2016-03-18,88.0
2016-03-19,139.0
2016-03-20,56.0
2016-03-21,252.0
2016-03-22,81.0
2016-03-23,56.0
2016-03-24,56.0
2016-03-25,54.0
2016-03-26,25.0
2016-03-27,32.0
2016-03-28,273.0
2016-03-29,203.0
2016-03-30,102.0
2016-03-31,297.0
2016-04-01,229.0
2016-04-02,83.0
2016-04-03,78.0
2016-04-04,380.0
2016-04-05,161.0
2016-04-06,92.0
2016-04-07,41.0
2016-04-08,104.0
2016-04-09,35.0
2016-04-10,57.0
2016-04-11,259.0
2016-04-12,129.0
2016-04-13,172.0
2016-04-14,258.0
2016-04-15,150.0
2016-04-16,63.0
2016-04-17,285.0
2016-04-18,415.0
2016-04-19,225.0
2016-04-20,107.0
2016-04-21,320.0
2016-04-22,130.0
2016-04-23,57.0
2016-04-24,171.0
2016-04-25,313.0
2016-04-26,167.0
2016-04-27,80.0
2016-04-28,57.0
2016-04-29,121.0
2016-04-30,46.0
2016-05-01,149.0
2016-05-02,319.0
2016-05-03,743.0
2016-05-04,504.0
2016-05-05,271.0
2016-05-06,178.0
2016-05-07,106.0
2016-05-08,194.0
2016-05-09,373.0
2016-05-10,332.0
2016-05-11,543.0
2016-05-12,304.0
2016-05-13,91.0
2016-05-14,128.0
2016-05-15,179.0
2016-05-16,392.0
2016-05-17,233.0
2016-05-18,142.0
2016-05-19,141.0
2016-05-20,120.0
2016-05-21,69.0
2016-05-22,88.0
2016-05-23,805.0
2016-05-24,401.0
2016-05-25,185.0
2016-05-26,224.0
2016-05-27,331.0
2016-05-28,212.0
2016-05-29,169.0
2016-05-30,315.0
2016-05-31,396.0
2016-06-01,168.0
2016-06-02,137.0
2016-06-03,162.0
2016-06-04,113.0
2016-06-05,131.0
2016-06-06,482.0
2016-06-07,261.0
2016-06-08,246.0
2016-06-09,313.0
2016-06-10,626.0
2016-06-11,211.0
2016-06-12,398.0
2016-06-13,498.0
2016-06-14,293.0
2016-06-15,160.0
2016-06-16,146.0
2016-06-17,127.0
2016-06-18,130.0
2016-06-19,123.0
2016-06-20,558.0
2016-06-21,342.0
2016-06-22,206.0
2016-06-23,860.0
2016-06-24,230.0
2016-06-25,239.0
2016-06-26,329.0
2016-06-27,880.0
2016-06-28,397.0
2016-06-29,234.0
2016-06-30,517.0
2016-07-01,266.0
2016-07-02,150.0
2016-07-03,201.0
2016-07-04,666.0
2016-07-05,309.0
2016-07-06,186.0
2016-07-07,229.0
2016-07-08,367.0
2016-07-09,150.0
2016-07-10,590.0
2016-07-11,432.0
2016-07-12,330.0
2016-07-13,1329.0
2016-07-14,1073.0
2016-07-15,350.0
2016-07-16,231.0
2016-07-17,221.0
2016-07-18,734.0
2016-07-19,354.0
2016-07-20,371.0
2016-07-21,716.0
2016-07-22,450.0
2016-07-23,222.0
2016-07-24,651.0
2016-07-25,378.0
2016-07-26,308.0
2016-07-27,420.0
2016-07-28,209.0
2016-07-29,150.0
2016-07-30,111.0
2016-07-31,537.0
2016-08-01,726.0
2016-08-02,560.0
2016-08-03,887.0
2016-08-04,389.0
2016-08-05,271.0
2016-08-06,165.0
2016-08-07,569.0
2016-08-08,399.0
2016-08-09,311.0
2016-08-10,311.0
2016-08-11,193.0
2016-08-12,158.0
2016-08-13,140.0
2016-08-14,788.0
2016-08-15,743.0
2016-08-16,491.0
2016-08-17,472.0
2016-08-18,803.0
2016-08-19,445.0
2016-08-20,373.0
2016-08-21,689.0
2016-08-22,525.0
2016-08-23,329.0
2016-08-24,304.0
2016-08-25,255.0
2016-08-26,239.0
2016-08-27,168.0
2016-08-28,686.0
2016-08-29,577.0
2016-08-30,336.0
2016-08-31,306.0
2016-09-01,832.0
2016-09-02,472.0
2016-09-03,266.0
2016-09-04,670.0
2016-09-05,479.0
2016-09-06,287.0
2016-09-07,286.0
2016-09-08,255.0
2016-09-09,253.0
2016-09-10,248.0
2016-09-11,683.0
2016-09-12,507.0
2016-09-13,320.0
2016-09-14,261.0
2016-09-15,706.0
2016-09-16,380.0
2016-09-17,428.0
2016-09-18,820.0
2016-09-19,686.0
2016-09-20,394.0
2016-09-21,378.0
2016-09-22,708.0
2016-09-23,412.0
2016-09-24,340.0
2016-09-25,462.0
2016-09-26,586.0
2016-09-27,330.0
2016-09-28,765.0
2016-09-29,551.0
2016-09-30,570.0
2016-10-01,294.0
2016-10-02,662.0
2016-10-03,461.0
2016-10-04,314.0
2016-10-05,342.0
2016-10-06,303.0
2016-10-07,215.0
2016-10-08,195.0
2016-10-09,800.0
2016-10-10,576.0
2016-10-11,468.0
2016-10-12,461.0
2016-10-13,422.0
2016-10-14,197.0
2016-10-15,190.0
2016-10-16,1137.0
2016-10-17,1074.0
2016-10-18,535.0
2016-10-19,438.0
2016-10-20,519.0
2016-10-21,414.0
2016-10-22,347.0
2016-10-23,836.0
2016-10-24,732.0
2016-10-25,469.0
2016-10-26,433.0
2016-10-27,1009.0
2016-10-28,478.0
2016-10-29,451.0
