"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",690,0,0,690
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",696,0,0,696
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",1331,0,0,1331
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",1587,0,0,1587
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",1329,0,0,1329
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",1132,0,0,1132
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",832,550,0,1382
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",207,849,0,1056
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",412,1631,0,2043
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",155,1591,0,1746
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",105,867,0,972
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",67,876,0,943
"TBP97 - Hype or Hope","2016-11-06 00:57:36",280,1474,0,1754
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",43,388,518,949
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",34,655,603,1292
"TBP95 - The JOBS Act","2016-10-27 00:09:26",41,227,988,1256
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",47,202,1806,2055
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",62,434,2815,3311
"TBP92 - Myceliated","2016-10-09 04:31:18",24,84,1419,1527
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",29,47,1229,1305
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",238,272,420,1651
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",19,58,244,1126
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",35,33,144,1152
"TBP87 - The World is YOURS","2016-09-18 15:16:48",45,45,127,1548
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",24,44,102,1184
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",17,48,62,1093
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",18,29,45,1255
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",19,43,144,1664
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",27,51,76,1482
"TBP81 - Redefining Trust","2016-08-21 00:51:47",26,34,58,1421
"TBP80 - A Means to an End","2016-08-13 21:30:49",9,16,41,1275
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",21,67,75,2265
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",13,21,41,1601
"TBP77 - Collective Governance","2016-08-01 02:13:02",196,229,58,2119
"TBP76 - Skynet","2016-07-31 13:56:37",228,246,56,2212
"TBP75 - Attention Economy","2016-07-23 14:57:17",23,25,35,1643
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",12,17,26,1154
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",14,17,20,1435
"TBP72 - The Broader Economy","2016-07-11 13:33:58",19,24,51,3195
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",6,41,47,1618
"TBP70 - Whitehat","2016-07-03 16:51:42",9,10,14,1385
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",23,33,13,1102
